Province;anio;pib
Burgos;2003-01-01;20,855
Caceres;2003-01-01;12,841
Cadiz;2003-01-01;14,409
Castellon/Castello;2003-01-01;20,407
Ceuta;2003-01-01;15,593
Ciudad Real;2003-01-01;15,922
Cordoba;2003-01-01;13,095
A Coruna;2003-01-01;15,812
Cuenca;2003-01-01;14,518
Girona;2003-01-01;23,554
Granada;2003-01-01;13,362
Guadalajara;2003-01-01;17,579
Gipuzkoa;2003-01-01;23,506
Huelva;2003-01-01;14,964
Huesca;2003-01-01;20,409
Jaen;2003-01-01;13,457
Leon;2003-01-01;15,540
Lleida;2003-01-01;23,785
La Rioja;2003-01-01;20,933
Lugo;2003-01-01;14,440
Madrid;2003-01-01;24,973
Malaga;2003-01-01;14,470
Melilla;2003-01-01;15,570
Murcia;2003-01-01;16,376
Navarra;2003-01-01;23,848
Ourense;2003-01-01;14,158
Asturias;2003-01-01;16,039
Palencia;2003-01-01;18,695
Las Palmas;2003-01-01;17,850
Pontevedra;2003-01-01;15,128
Salamanca;2003-01-01;15,779
Santa Cruz de Tenerife;2003-01-01;17,073
Cantabria;2003-01-01;17,801
Segovia;2003-01-01;18,650
Sevilla;2003-01-01;15,373
Soria;2003-01-01;18,825
Tarragona;2003-01-01;24,375
Teruel;2003-01-01;19,843
Toledo;2003-01-01;15,653
Valencia;2003-01-01;18,284
Valladolid;2003-01-01;18,869
Bizkaia;2003-01-01;21,845
Zamora;2003-01-01;13,709
Zaragoza;2003-01-01;20,722
Araba/Alava;2004-01-01;28,472
Albacete;2004-01-01;15,409
Alicante/Alacant;2004-01-01;17,216
Almeria;2004-01-01;18,272
Avila;2004-01-01;15,269
Badajoz;2004-01-01;13,280
Illes Balears;2004-01-01;22,975
Barcelona;2004-01-01;23,586
Burgos;2004-01-01;22,161
Caceres;2004-01-01;14,144
Cadiz;2004-01-01;15,566
Castellon/Castello;2004-01-01;20,808
Ceuta;2004-01-01;16,358
Ciudad Real;2004-01-01;16,994
Cordoba;2004-01-01;14,160
A Coruna;2004-01-01;16,963
Cuenca;2004-01-01;16,023
Girona;2004-01-01;24,600
Granada;2004-01-01;14,112
Guadalajara;2004-01-01;17,935
Gipuzkoa;2004-01-01;24,922
Huelva;2004-01-01;16,195
Huesca;2004-01-01;21,296
Jaen;2004-01-01;13,981
Leon;2004-01-01;16,281
Lleida;2004-01-01;24,398
La Rioja;2004-01-01;21,689
Lugo;2004-01-01;15,477
Madrid;2004-01-01;26,394
Malaga;2004-01-01;15,649
Melilla;2004-01-01;16,650
Murcia;2004-01-01;17,152
Navarra;2004-01-01;25,096
Ourense;2004-01-01;14,803
Asturias;2004-01-01;17,055
Palencia;2004-01-01;19,805
Las Palmas;2004-01-01;18,123
Pontevedra;2004-01-01;16,376
Salamanca;2004-01-01;16,590
Santa Cruz de Tenerife;2004-01-01;17,824
Cantabria;2004-01-01;18,744
Segovia;2004-01-01;19,416
Sevilla;2004-01-01;16,309
Soria;2004-01-01;20,172
Tarragona;2004-01-01;25,960
Teruel;2004-01-01;20,739
Toledo;2004-01-01;16,049
Valencia;2004-01-01;19,138
Valladolid;2004-01-01;19,992
Bizkaia;2004-01-01;23,073
Zamora;2004-01-01;14,799
Zaragoza;2004-01-01;21,912
Araba/Alava;2005-01-01;30,538
Albacete;2005-01-01;16,415
Alicante/Alacant;2005-01-01;18,054
Almeria;2005-01-01;19,070
Avila;2005-01-01;15,706
Badajoz;2005-01-01;14,745
Illes Balears;2005-01-01;24,054
Barcelona;2005-01-01;25,117
Burgos;2005-01-01;23,538
Caceres;2005-01-01;14,672
Cadiz;2005-01-01;16,455
Castellon/Castello;2005-01-01;22,550
Ceuta;2005-01-01;17,135
Ciudad Real;2005-01-01;17,523
Cordoba;2005-01-01;14,955
A Coruna;2005-01-01;18,336
Cuenca;2005-01-01;16,987
Girona;2005-01-01;25,449
Granada;2005-01-01;14,830
Guadalajara;2005-01-01;19,263
Gipuzkoa;2005-01-01;26,396
Huelva;2005-01-01;17,248
Huesca;2005-01-01;22,077
Jaen;2005-01-01;14,307
Leon;2005-01-01;17,801
Lleida;2005-01-01;24,396
La Rioja;2005-01-01;22,851
Lugo;2005-01-01;17,359
Madrid;2005-01-01;28,020
Malaga;2005-01-01;17,026
Melilla;2005-01-01;17,256
Murcia;2005-01-01;18,178
Navarra;2005-01-01;26,586
Ourense;2005-01-01;15,909
Asturias;2005-01-01;18,482
Palencia;2005-01-01;21,133
Las Palmas;2005-01-01;18,554
Pontevedra;2005-01-01;17,434
Salamanca;2005-01-01;17,232
Santa Cruz de Tenerife;2005-01-01;18,877
Cantabria;2005-01-01;19,981
Segovia;2005-01-01;20,741
Sevilla;2005-01-01;17,573
Soria;2005-01-01;20,385
Tarragona;2005-01-01;25,448
Teruel;2005-01-01;22,355
Toledo;2005-01-01;17,557
Valencia;2005-01-01;19,886
Valladolid;2005-01-01;21,379
Bizkaia;2005-01-01;24,749
Zamora;2005-01-01;15,168
Zaragoza;2005-01-01;23,225
Araba/Alava;2006-01-01;33,477
Albacete;2006-01-01;17,444
Alicante/Alacant;2006-01-01;18,901
Almeria;2006-01-01;19,852
Avila;2006-01-01;16,832
Badajoz;2006-01-01;15,534
Illes Balears;2006-01-01;25,259
Barcelona;2006-01-01;26,688
Burgos;2006-01-01;24,580
Caceres;2006-01-01;15,736
Cadiz;2006-01-01;17,473
Castellon/Castello;2006-01-01;23,992
Ceuta;2006-01-01;18,107
Ciudad Real;2006-01-01;18,651
Cordoba;2006-01-01;16,267
A Coruna;2006-01-01;19,678
Cuenca;2006-01-01;18,350
Girona;2006-01-01;27,504
Granada;2006-01-01;16,403
Guadalajara;2006-01-01;19,749
Gipuzkoa;2006-01-01;28,823
Huelva;2006-01-01;17,811
Huesca;2006-01-01;23,655
Jaen;2006-01-01;15,348
Leon;2006-01-01;18,982
Lleida;2006-01-01;26,668
La Rioja;2006-01-01;24,361
Lugo;2006-01-01;18,661
Madrid;2006-01-01;30,136
Malaga;2006-01-01;17,805
Melilla;2006-01-01;18,066
Murcia;2006-01-01;19,274
Navarra;2006-01-01;28,111
Ourense;2006-01-01;17,063
Asturias;2006-01-01;20,059
Palencia;2006-01-01;22,119
Las Palmas;2006-01-01;19,353
Pontevedra;2006-01-01;19,036
Salamanca;2006-01-01;18,197
Santa Cruz de Tenerife;2006-01-01;19,628
Cantabria;2006-01-01;21,184
Segovia;2006-01-01;21,948
Sevilla;2006-01-01;18,590
Soria;2006-01-01;21,548
Tarragona;2006-01-01;26,476
Teruel;2006-01-01;23,667
Toledo;2006-01-01;18,777
Valencia;2006-01-01;21,248
Valladolid;2006-01-01;22,590
Bizkaia;2006-01-01;26,141
Zamora;2006-01-01;16,727
Zaragoza;2006-01-01;24,806
Araba/Alava;2007-01-01;35,813
Albacete;2007-01-01;18,122
Alicante/Alacant;2007-01-01;19,313
Almeria;2007-01-01;21,034
Avila;2007-01-01;18,203
Badajoz;2007-01-01;16,723
Illes Balears;2007-01-01;26,092
Barcelona;2007-01-01;28,112
Burgos;2007-01-01;25,952
Caceres;2007-01-01;16,673
Cadiz;2007-01-01;18,149
Castellon/Castello;2007-01-01;23,807
Ceuta;2007-01-01;19,051
Ciudad Real;2007-01-01;19,950
Cordoba;2007-01-01;17,401
A Coruna;2007-01-01;21,260
Cuenca;2007-01-01;19,812
Girona;2007-01-01;28,130
Granada;2007-01-01;17,286
Guadalajara;2007-01-01;20,539
Gipuzkoa;2007-01-01;30,538
Huelva;2007-01-01;18,331
Huesca;2007-01-01;25,828
Jaen;2007-01-01;16,530
Leon;2007-01-01;20,032
Lleida;2007-01-01;27,890
La Rioja;2007-01-01;25,488
Lugo;2007-01-01;19,592
Madrid;2007-01-01;31,555
Malaga;2007-01-01;18,316
Melilla;2007-01-01;18,495
Murcia;2007-01-01;20,228
Navarra;2007-01-01;29,307
Ourense;2007-01-01;17,981
Asturias;2007-01-01;21,416
Palencia;2007-01-01;24,196
Las Palmas;2007-01-01;20,021
Pontevedra;2007-01-01;20,494
Salamanca;2007-01-01;19,022
Santa Cruz de Tenerife;2007-01-01;20,554
Cantabria;2007-01-01;22,423
Segovia;2007-01-01;22,808
Sevilla;2007-01-01;19,814
Soria;2007-01-01;22,897
Tarragona;2007-01-01;27,469
Teruel;2007-01-01;24,955
Toledo;2007-01-01;19,742
Valencia;2007-01-01;22,610
Valladolid;2007-01-01;23,792
Bizkaia;2007-01-01;27,546
Zamora;2007-01-01;17,805
Zaragoza;2007-01-01;26,312
Araba/Alava;2008-01-01;37,165
Albacete;2008-01-01;18,955
Alicante/Alacant;2008-01-01;19,384
Almeria;2008-01-01;20,995
Avila;2008-01-01;18,540
Badajoz;2008-01-01;17,475
Illes Balears;2008-01-01;26,377
Barcelona;2008-01-01;28,335
Burgos;2008-01-01;26,802
Caceres;2008-01-01;16,909
Cadiz;2008-01-01;18,128
Castellon/Castello;2008-01-01;23,492
Ceuta;2008-01-01;19,584
Ciudad Real;2008-01-01;20,369
Cordoba;2008-01-01;17,529
A Coruna;2008-01-01;22,051
Cuenca;2008-01-01;19,770
Girona;2008-01-01;27,846
Granada;2008-01-01;17,521
Guadalajara;2008-01-01;20,965
Gipuzkoa;2008-01-01;30,720
Huelva;2008-01-01;18,634
Huesca;2008-01-01;27,230
Jaen;2008-01-01;16,739
Leon;2008-01-01;20,323
Lleida;2008-01-01;28,390
La Rioja;2008-01-01;25,954
Lugo;2008-01-01;19,968
Madrid;2008-01-01;32,125
Malaga;2008-01-01;18,480
Melilla;2008-01-01;18,800
Murcia;2008-01-01;20,636
Navarra;2008-01-01;29,937
Ourense;2008-01-01;18,819
Asturias;2008-01-01;21,987
Palencia;2008-01-01;24,788
Las Palmas;2008-01-01;20,147
Pontevedra;2008-01-01;21,205
Salamanca;2008-01-01;19,280
Santa Cruz de Tenerife;2008-01-01;20,835
Cantabria;2008-01-01;22,852
Segovia;2008-01-01;22,270
Sevilla;2008-01-01;19,946
Soria;2008-01-01;23,364
Tarragona;2008-01-01;27,654
Teruel;2008-01-01;25,799
Toledo;2008-01-01;19,724
Valencia;2008-01-01;23,079
Valladolid;2008-01-01;23,816
Bizkaia;2008-01-01;28,810
Zamora;2008-01-01;18,159
Zaragoza;2008-01-01;26,462
Araba/Alava;2009-01-01;34,115
Albacete;2009-01-01;18,798
Alicante/Alacant;2009-01-01;18,144
Almeria;2009-01-01;19,151
Avila;2009-01-01;17,999
Badajoz;2009-01-01;16,896
Illes Balears;2009-01-01;24,832
Barcelona;2009-01-01;27,016
Burgos;2009-01-01;25,414
Caceres;2009-01-01;16,489
Cadiz;2009-01-01;16,899
Castellon/Castello;2009-01-01;22,257
Ceuta;2009-01-01;19,077
Ciudad Real;2009-01-01;19,341
Cordoba;2009-01-01;16,816
A Coruna;2009-01-01;21,594
Cuenca;2009-01-01;18,959
Girona;2009-01-01;26,596
Granada;2009-01-01;16,639
Guadalajara;2009-01-01;19,591
Gipuzkoa;2009-01-01;29,132
Huelva;2009-01-01;17,028
Huesca;2009-01-01;25,509
Jaen;2009-01-01;16,347
Leon;2009-01-01;20,015
Lleida;2009-01-01;27,615
La Rioja;2009-01-01;24,741
Lugo;2009-01-01;19,179
Madrid;2009-01-01;31,364
Malaga;2009-01-01;17,762
Melilla;2009-01-01;18,284
Murcia;2009-01-01;19,383
Navarra;2009-01-01;28,569
Ourense;2009-01-01;17,897
Asturias;2009-01-01;20,778
Palencia;2009-01-01;23,740
Las Palmas;2009-01-01;19,219
Pontevedra;2009-01-01;20,048
Salamanca;2009-01-01;19,105
Santa Cruz de Tenerife;2009-01-01;19,641
Cantabria;2009-01-01;21,834
Segovia;2009-01-01;21,250
Sevilla;2009-01-01;19,124
Soria;2009-01-01;22,193
Tarragona;2009-01-01;26,518
Teruel;2009-01-01;24,210
Toledo;2009-01-01;18,532
Valencia;2009-01-01;21,712
Valladolid;2009-01-01;22,830
Bizkaia;2009-01-01;27,922
Zamora;2009-01-01;17,803
Zaragoza;2009-01-01;25,207
Araba/Alava;2010-01-01;33,818
Albacete;2010-01-01;18,691
Alicante/Alacant;2010-01-01;17,881
Almeria;2010-01-01;18,616
Avila;2010-01-01;17,998
Badajoz;2010-01-01;16,891
Illes Balears;2010-01-01;24,638
Barcelona;2010-01-01;27,119
Burgos;2010-01-01;25,575
Caceres;2010-01-01;17,049
Cadiz;2010-01-01;17,054
Castellon/Castello;2010-01-01;22,405
Ceuta;2010-01-01;18,532
Ciudad Real;2010-01-01;19,611
Cordoba;2010-01-01;16,641
A Coruna;2010-01-01;21,857
Cuenca;2010-01-01;19,587
Girona;2010-01-01;26,772
Granada;2010-01-01;16,431
Guadalajara;2010-01-01;19,778
Gipuzkoa;2010-01-01;29,564
Huelva;2010-01-01;17,351
Huesca;2010-01-01;26,084
Jaen;2010-01-01;16,388
Leon;2010-01-01;19,926
Lleida;2010-01-01;27,544
La Rioja;2010-01-01;25,035
Lugo;2010-01-01;19,985
Madrid;2010-01-01;31,059
Malaga;2010-01-01;17,608
Melilla;2010-01-01;17,661
Murcia;2010-01-01;19,479
Navarra;2010-01-01;28,487
Ourense;2010-01-01;18,515
Asturias;2010-01-01;20,992
Palencia;2010-01-01;23,498
Las Palmas;2010-01-01;18,796
Pontevedra;2010-01-01;19,720
Salamanca;2010-01-01;18,370
Santa Cruz de Tenerife;2010-01-01;19,964
Cantabria;2010-01-01;21,850
Segovia;2010-01-01;21,474
Sevilla;2010-01-01;18,891
Soria;2010-01-01;23,036
Tarragona;2010-01-01;26,997
Teruel;2010-01-01;24,291
Toledo;2010-01-01;17,844
Valencia;2010-01-01;21,786
Valladolid;2010-01-01;23,521
Bizkaia;2010-01-01;28,342
Zamora;2010-01-01;18,235
Zaragoza;2010-01-01;25,371
Araba/Alava;2011-01-01;33,921
Albacete;2011-01-01;18,283
Alicante/Alacant;2011-01-01;17,210
Almeria;2011-01-01;17,294
Avila;2011-01-01;18,087
Badajoz;2011-01-01;16,545
Illes Balears;2011-01-01;24,324
Barcelona;2011-01-01;26,698
Burgos;2011-01-01;25,762
Caceres;2011-01-01;16,585
Cadiz;2011-01-01;16,881
Castellon/Castello;2011-01-01;22,764
Ceuta;2011-01-01;17,986
Ciudad Real;2011-01-01;19,472
Cordoba;2011-01-01;16,403
A Coruna;2011-01-01;21,360
Cuenca;2011-01-01;19,863
Girona;2011-01-01;26,168
