Province;anio;pib
Tarragona;2015-01-01;27,832
Teruel;2015-01-01;24,012
Toledo;2015-01-01;16,982
Valencia;2015-01-01;21,862
Valladolid;2015-01-01;23,737
Bizkaia;2015-01-01;28,852
Zamora;2015-01-01;18,984
Zaragoza;2015-01-01;25,194
Araba/Alava;2016-01-01;36,915
Albacete;2016-01-01;19,370
Alicante/Alacant;2016-01-01;18,474
Almeria;2016-01-01;20,196
Avila;2016-01-01;18,459
Badajoz;2016-01-01;17,297
Illes Balears;2016-01-01;26,922
Barcelona;2016-01-01;28,906
Burgos;2016-01-01;26,648
Caceres;2016-01-01;18,158
Cadiz;2016-01-01;16,784
Castellon/Castello;2016-01-01;24,744
Ceuta;2016-01-01;18,155
Ciudad Real;2016-01-01;20,435
Cordoba;2016-01-01;17,197
A Coruna;2016-01-01;22,710
Cuenca;2016-01-01;21,288
Girona;2016-01-01;27,792
Granada;2016-01-01;17,368
Guadalajara;2016-01-01;18,678
Gipuzkoa;2016-01-01;30,149
Huelva;2016-01-01;17,877
Huesca;2016-01-01;28,169
Jaen;2016-01-01;16,916
Leon;2016-01-01;19,604
Lleida;2016-01-01;28,316
La Rioja;2016-01-01;25,713
Lugo;2016-01-01;22,354
Madrid;2016-01-01;33,350
Malaga;2016-01-01;17,379
Melilla;2016-01-01;16,979
Murcia;2016-01-01;20,402
Navarra;2016-01-01;29,556
Ourense;2016-01-01;20,206
Asturias;2016-01-01;20,913
Palencia;2016-01-01;25,476
Las Palmas;2016-01-01;19,181
Pontevedra;2016-01-01;20,460
Salamanca;2016-01-01;19,332
Santa Cruz de Tenerife;2016-01-01;19,745
Cantabria;2016-01-01;22,072
Segovia;2016-01-01;21,738
Sevilla;2016-01-01;18,947
Soria;2016-01-01;24,056
Tarragona;2016-01-01;29,105
Teruel;2016-01-01;23,993
Toledo;2016-01-01;17,629
Valencia;2016-01-01;22,198
Valladolid;2016-01-01;25,043
Bizkaia;2016-01-01;29,532
Zamora;2016-01-01;19,366
Zaragoza;2016-01-01;26,118
Araba/Alava;2017-01-01;37,808
Albacete;2017-01-01;20,549
Alicante/Alacant;2017-01-01;19,327
Almeria;2017-01-01;21,467
Avila;2017-01-01;19,225
Badajoz;2017-01-01;18,349
Illes Balears;2017-01-01;28,001
Barcelona;2017-01-01;30,188
Burgos;2017-01-01;28,147
Caceres;2017-01-01;19,461
Cadiz;2017-01-01;17,584
Castellon/Castello;2017-01-01;26,989
Ceuta;2017-01-01;18,262
Ciudad Real;2017-01-01;21,349
Cordoba;2017-01-01;17,967
A Coruna;2017-01-01;23,331
Cuenca;2017-01-01;22,164
Girona;2017-01-01;27,361
Granada;2017-01-01;17,846
Guadalajara;2017-01-01;19,985
Gipuzkoa;2017-01-01;32,136
Huelva;2017-01-01;19,318
Huesca;2017-01-01;28,467
Jaen;2017-01-01;17,382
Leon;2017-01-01;20,400
Lleida;2017-01-01;27,461
La Rioja;2017-01-01;26,585
Lugo;2017-01-01;22,468
Madrid;2017-01-01;34,592
Malaga;2017-01-01;18,189
Melilla;2017-01-01;17,051
Murcia;2017-01-01;21,128
Navarra;2017-01-01;30,631
Ourense;2017-01-01;21,035
Asturias;2017-01-01;21,897
Palencia;2017-01-01;25,054
Las Palmas;2017-01-01;19,945
Pontevedra;2017-01-01;21,815
Salamanca;2017-01-01;20,030
Santa Cruz de Tenerife;2017-01-01;20,681
Cantabria;2017-01-01;22,922
Segovia;2017-01-01;21,163
Sevilla;2017-01-01;19,774
Soria;2017-01-01;24,746
Tarragona;2017-01-01;30,395
Teruel;2017-01-01;23,935
Toledo;2017-01-01;18,217
Valencia;2017-01-01;22,795
Valladolid;2017-01-01;26,362
Bizkaia;2017-01-01;30,047
Zamora;2017-01-01;18,454
Zaragoza;2017-01-01;27,582
Araba/Alava;2018-01-01;38,711
Albacete;2018-01-01;21,365
Alicante/Alacant;2018-01-01;19,798
Almeria;2018-01-01;21,567
Avila;2018-01-01;20,036
Badajoz;2018-01-01;18,706
Illes Balears;2018-01-01;28,906
Barcelona;2018-01-01;31,073
Burgos;2018-01-01;29,444
Caceres;2018-01-01;20,499
Cadiz;2018-01-01;18,079
Castellon/Castello;2018-01-01;27,201
Ceuta;2018-01-01;18,923
Ciudad Real;2018-01-01;21,974
Cordoba;2018-01-01;18,275
A Coruna;2018-01-01;24,319
Cuenca;2018-01-01;23,222
Girona;2018-01-01;27,864
Granada;2018-01-01;18,353
Guadalajara;2018-01-01;20,914
Gipuzkoa;2018-01-01;32,913
Huelva;2018-01-01;20,380
Huesca;2018-01-01;28,749
Jaen;2018-01-01;18,320
Leon;2018-01-01;21,175
Lleida;2018-01-01;28,290
La Rioja;2018-01-01;27,470
Lugo;2018-01-01;23,579
Madrid;2018-01-01;35,601
Malaga;2018-01-01;18,922
Melilla;2018-01-01;17,531
Murcia;2018-01-01;21,393
Navarra;2018-01-01;31,190
Ourense;2018-01-01;22,030
Asturias;2018-01-01;22,651
Palencia;2018-01-01;27,101
Las Palmas;2018-01-01;20,595
Pontevedra;2018-01-01;22,157
Salamanca;2018-01-01;20,735
Santa Cruz de Tenerife;2018-01-01;21,134
Cantabria;2018-01-01;23,818
Segovia;2018-01-01;22,012
Sevilla;2018-01-01;20,429
Soria;2018-01-01;28,019
Tarragona;2018-01-01;30,427
Teruel;2018-01-01;25,241
Toledo;2018-01-01;18,940
Valencia;2018-01-01;23,825
Valladolid;2018-01-01;27,580
Bizkaia;2018-01-01;31,099
Zamora;2018-01-01;19,328
Zaragoza;2018-01-01;28,597
Araba/Alava;2019-01-01;38,631
Albacete;2019-01-01;22,251
Alicante/Alacant;2019-01-01;20,263
Almeria;2019-01-01;22,268
Avila;2019-01-01;20,760
Badajoz;2019-01-01;19,102
Illes Balears;2019-01-01;29,458
Barcelona;2019-01-01;31,903
Burgos;2019-01-01;29,798
Caceres;2019-01-01;21,163
Cadiz;2019-01-01;18,767
Castellon/Castello;2019-01-01;27,746
Ceuta;2019-01-01;19,577
Ciudad Real;2019-01-01;22,264
Cordoba;2019-01-01;18,225
A Coruna;2019-01-01;24,840
Cuenca;2019-01-01;23,241
Girona;2019-01-01;28,643
Granada;2019-01-01;19,091
Guadalajara;2019-01-01;21,655
Gipuzkoa;2019-01-01;33,900
Huelva;2019-01-01;20,329
Huesca;2019-01-01;29,643
Jaen;2019-01-01;17,840
Leon;2019-01-01;21,919
Lleida;2019-01-01;29,386
La Rioja;2019-01-01;28,040
Lugo;2019-01-01;23,836
Madrid;2019-01-01;36,613
Malaga;2019-01-01;19,477
Melilla;2019-01-01;18,073
Murcia;2019-01-01;22,015
Navarra;2019-01-01;32,136
Ourense;2019-01-01;23,276
Asturias;2019-01-01;23,220
Palencia;2019-01-01;27,505
Las Palmas;2019-01-01;20,864
Pontevedra;2019-01-01;23,013
Salamanca;2019-01-01;21,588
Santa Cruz de Tenerife;2019-01-01;21,478
Cantabria;2019-01-01;24,515
Segovia;2019-01-01;22,690
Sevilla;2019-01-01;21,043
Soria;2019-01-01;28,421
Tarragona;2019-01-01;30,643
Teruel;2019-01-01;25,570
Toledo;2019-01-01;19,308
Valencia;2019-01-01;24,397
Valladolid;2019-01-01;28,079
Bizkaia;2019-01-01;31,944
Zamora;2019-01-01;20,270
Zaragoza;2019-01-01;29,386
Araba/Alava;2020-01-01;35,283
Albacete;2020-01-01;20,707
Alicante/Alacant;2020-01-01;18,339
Almeria;2020-01-01;20,335
Avila;2020-01-01;19,336
Badajoz;2020-01-01;17,844
Illes Balears;2020-01-01;22,611
Barcelona;2020-01-01;28,432
Burgos;2020-01-01;26,984
Caceres;2020-01-01;19,222
Cadiz;2020-01-01;16,418
Castellon/Castello;2020-01-01;24,497
Ceuta;2020-01-01;18,184
Ciudad Real;2020-01-01;20,680
Cordoba;2020-01-01;16,851
A Coruna;2020-01-01;22,743
Cuenca;2020-01-01;21,672
Girona;2020-01-01;25,331
Granada;2020-01-01;17,310
Guadalajara;2020-01-01;19,815
Gipuzkoa;2020-01-01;30,179
Huelva;2020-01-01;17,800
Huesca;2020-01-01;28,385
Jaen;2020-01-01;17,140
Leon;2020-01-01;20,431
Lleida;2020-01-01;26,556
La Rioja;2020-01-01;25,654
Lugo;2020-01-01;21,271
Madrid;2020-01-01;32,853
Malaga;2020-01-01;16,913
Melilla;2020-01-01;16,776
Murcia;2020-01-01;20,108
Navarra;2020-01-01;28,987
Ourense;2020-01-01;21,005
Asturias;2020-01-01;21,069
Palencia;2020-01-01;25,293
Las Palmas;2020-01-01;16,895
Pontevedra;2020-01-01;21,304
Salamanca;2020-01-01;20,029
Santa Cruz de Tenerife;2020-01-01;17,611
Cantabria;2020-01-01;22,279
Segovia;2020-01-01;20,668
Sevilla;2020-01-01;19,208
Soria;2020-01-01;25,821
Tarragona;2020-01-01;26,378
Teruel;2020-01-01;23,292
Toledo;2020-01-01;17,804
Valencia;2020-01-01;22,104
Valladolid;2020-01-01;26,067
Bizkaia;2020-01-01;28,583
Zamora;2020-01-01;18,827
Zaragoza;2020-01-01;27,197
Araba/Alava;2021-01-01;35,924
Albacete;2021-01-01;22,932
Alicante/Alacant;2021-01-01;20,334
Almeria;2021-01-01;20,292
Avila;2021-01-01;20,409
Badajoz;2021-01-01;19,029
Illes Balears;2021-01-01;25,807
Barcelona;2021-01-01;30,588
Burgos;2021-01-01;28,841
Caceres;2021-01-01;22,653
Cadiz;2021-01-01;18,313
Castellon/Castello;2021-01-01;26,829
Ceuta;2021-01-01;19,661
Ciudad Real;2021-01-01;21,334
Cordoba;2021-01-01;18,710
A Coruna;2021-01-01;24,627
Cuenca;2021-01-01;25,348
Girona;2021-01-01;29,732
Granada;2021-01-01;18,776
Guadalajara;2021-01-01;21,774
Gipuzkoa;2021-01-01;34,099
Huelva;2021-01-01;20,086
Huesca;2021-01-01;30,234
Jaen;2021-01-01;18,955
Leon;2021-01-01;23,214
Lleida;2021-01-01;29,554
La Rioja;2021-01-01;27,365
Lugo;2021-01-01;23,529
Madrid;2021-01-01;35,703
Malaga;2021-01-01;19,145
Melilla;2021-01-01;17,891
Murcia;2021-01-01;22,087
Navarra;2021-01-01;31,486
Ourense;2021-01-01;23,878
Asturias;2021-01-01;23,446
Palencia;2021-01-01;27,331
Las Palmas;2021-01-01;18,912
Pontevedra;2021-01-01;23,251
Salamanca;2021-01-01;22,643
Santa Cruz de Tenerife;2021-01-01;19,138
Cantabria;2021-01-01;24,303
Segovia;2021-01-01;23,743
Sevilla;2021-01-01;21,346
Soria;2021-01-01;28,912
Tarragona;2021-01-01;29,817
Teruel;2021-01-01;26,341
Toledo;2021-01-01;19,714
Valencia;2021-01-01;23,967
Valladolid;2021-01-01;26,940
Bizkaia;2021-01-01;31,265
Zamora;2021-01-01;21,814
Zaragoza;2021-01-01;29,279
