Province;Sexo;Periodo;Population
Las Palmas;Total;2008-01-01;1070032
Las Palmas;Total;2007-01-01;1042131
Las Palmas;Total;2006-01-01;1024186
Las Palmas;Total;2005-01-01;1011928
Las Palmas;Total;2004-01-01;987128
Las Palmas;Total;2003-01-01;979606
Las Palmas;Total;2002-01-01;951037
Las Palmas;Total;2001-01-01;924558
Las Palmas;Total;2000-01-01;897595
Pontevedra;Total;2021-01-01;944275
Pontevedra;Total;2020-01-01;945408
Pontevedra;Total;2019-01-01;942665
Pontevedra;Total;2018-01-01;941772
Pontevedra;Total;2017-01-01;942731
Pontevedra;Total;2016-01-01;944346
Pontevedra;Total;2015-01-01;947374
Pontevedra;Total;2014-01-01;950919
Pontevedra;Total;2013-01-01;955050
Pontevedra;Total;2012-01-01;958428
Pontevedra;Total;2011-01-01;963511
Pontevedra;Total;2010-01-01;962472
Pontevedra;Total;2009-01-01;959764
Pontevedra;Total;2008-01-01;953400
Pontevedra;Total;2007-01-01;947639
Pontevedra;Total;2006-01-01;943117
Pontevedra;Total;2005-01-01;938311
Pontevedra;Total;2004-01-01;930931
Pontevedra;Total;2003-01-01;927555
Pontevedra;Total;2002-01-01;919934
Pontevedra;Total;2001-01-01;916176
Pontevedra;Total;2000-01-01;912621
La Rioja;Total;2021-01-01;319796
La Rioja;Total;2020-01-01;319914
La Rioja;Total;2019-01-01;316798
La Rioja;Total;2018-01-01;315675
La Rioja;Total;2017-01-01;315381
La Rioja;Total;2016-01-01;315794
La Rioja;Total;2015-01-01;317053
La Rioja;Total;2014-01-01;319002
La Rioja;Total;2013-01-01;322027
La Rioja;Total;2012-01-01;323609
La Rioja;Total;2011-01-01;322955
La Rioja;Total;2010-01-01;322415
La Rioja;Total;2009-01-01;321702
La Rioja;Total;2008-01-01;317501
La Rioja;Total;2007-01-01;308968
La Rioja;Total;2006-01-01;306377
La Rioja;Total;2005-01-01;301084
La Rioja;Total;2004-01-01;293553
La Rioja;Total;2003-01-01;287390
La Rioja;Total;2002-01-01;281614
La Rioja;Total;2001-01-01;270400
La Rioja;Total;2000-01-01;264178
Salamanca;Total;2021-01-01;327338
Salamanca;Total;2020-01-01;329245
Salamanca;Total;2019-01-01;330119
Salamanca;Total;2018-01-01;331473
Salamanca;Total;2017-01-01;333603
Salamanca;Total;2016-01-01;335985
Salamanca;Total;2015-01-01;339395
Salamanca;Total;2014-01-01;342459
Salamanca;Total;2013-01-01;345548
Salamanca;Total;2012-01-01;350564
Salamanca;Total;2011-01-01;352986
Salamanca;Total;2010-01-01;353619
Salamanca;Total;2009-01-01;354608
Salamanca;Total;2008-01-01;353404
Salamanca;Total;2007-01-01;351326
Salamanca;Total;2006-01-01;353110
Salamanca;Total;2005-01-01;352414
Salamanca;Total;2004-01-01;350984
Salamanca;Total;2003-01-01;348271
Salamanca;Total;2002-01-01;347120
Salamanca;Total;2001-01-01;350209
Salamanca;Total;2000-01-01;349733
Santa Cruz de Tenerife;Total;2021-01-01;1044405
Santa Cruz de Tenerife;Total;2020-01-01;1044887
Santa Cruz de Tenerife;Total;2019-01-01;1032983
Santa Cruz de Tenerife;Total;2018-01-01;1018510
Santa Cruz de Tenerife;Total;2017-01-01;1007641
Santa Cruz de Tenerife;Total;2016-01-01;1004124
Santa Cruz de Tenerife;Total;2015-01-01;1001900
Santa Cruz de Tenerife;Total;2014-01-01;1004788
Santa Cruz de Tenerife;Total;2013-01-01;1014829
Santa Cruz de Tenerife;Total;2012-01-01;1017531
Santa Cruz de Tenerife;Total;2011-01-01;1029789
Santa Cruz de Tenerife;Total;2010-01-01;1027914
Santa Cruz de Tenerife;Total;2009-01-01;1020490
Santa Cruz de Tenerife;Total;2008-01-01;1005936
Santa Cruz de Tenerife;Total;2007-01-01;983820
Santa Cruz de Tenerife;Total;2006-01-01;971647
Santa Cruz de Tenerife;Total;2005-01-01;956352
Santa Cruz de Tenerife;Total;2004-01-01;928412
Santa Cruz de Tenerife;Total;2003-01-01;915262
Santa Cruz de Tenerife;Total;2002-01-01;892718
Santa Cruz de Tenerife;Total;2001-01-01;856808
Santa Cruz de Tenerife;Total;2000-01-01;818681
Segovia;Total;2021-01-01;153663
Segovia;Total;2020-01-01;153478
Segovia;Total;2019-01-01;153129
Segovia;Total;2018-01-01;153342
Segovia;Total;2017-01-01;154184
Segovia;Total;2016-01-01;155652
Segovia;Total;2015-01-01;157570
Segovia;Total;2014-01-01;159303
Segovia;Total;2013-01-01;161702
Segovia;Total;2012-01-01;163701
Segovia;Total;2011-01-01;164169
Segovia;Total;2010-01-01;164268
Segovia;Total;2009-01-01;164854
Segovia;Total;2008-01-01;163899
Segovia;Total;2007-01-01;159322
Segovia;Total;2006-01-01;156598
Segovia;Total;2005-01-01;155517
Segovia;Total;2004-01-01;152640
Segovia;Total;2003-01-01;150701
Segovia;Total;2002-01-01;149286
Segovia;Total;2001-01-01;147028
Segovia;Total;2000-01-01;146613
Sevilla;Total;2021-01-01;1947852
Sevilla;Total;2020-01-01;1950219
Sevilla;Total;2019-01-01;1942389
Sevilla;Total;2018-01-01;1939887
Sevilla;Total;2017-01-01;1939527
Sevilla;Total;2016-01-01;1939775
Sevilla;Total;2015-01-01;1941480
Sevilla;Total;2014-01-01;1941355
Sevilla;Total;2013-01-01;1942155
Sevilla;Total;2012-01-01;1938974
Sevilla;Total;2011-01-01;1928962
Sevilla;Total;2010-01-01;1917097
Sevilla;Total;2009-01-01;1900224
Sevilla;Total;2008-01-01;1875462
Sevilla;Total;2007-01-01;1849268
Sevilla;Total;2006-01-01;1835077
Sevilla;Total;2005-01-01;1813908
Sevilla;Total;2004-01-01;1792420
Sevilla;Total;2003-01-01;1782862
Sevilla;Total;2002-01-01;1758720
Sevilla;Total;2001-01-01;1747441
Sevilla;Total;2000-01-01;1734917
Soria;Total;2021-01-01;88747
Soria;Total;2020-01-01;88884
Soria;Total;2019-01-01;88636
Soria;Total;2018-01-01;88600
Soria;Total;2017-01-01;88903
Soria;Total;2016-01-01;90040
Soria;Total;2015-01-01;91006
Soria;Total;2014-01-01;92221
Soria;Total;2013-01-01;93291
Soria;Total;2012-01-01;94522
Soria;Total;2011-01-01;95223
Soria;Total;2010-01-01;95258
Soria;Total;2009-01-01;95101
Soria;Total;2008-01-01;94646
Soria;Total;2007-01-01;93593
Soria;Total;2006-01-01;93503
Soria;Total;2005-01-01;92773
Soria;Total;2004-01-01;91652
Soria;Total;2003-01-01;90954
Soria;Total;2002-01-01;91487
Soria;Total;2001-01-01;91314
Soria;Total;2000-01-01;90911
Tarragona;Total;2021-01-01;822309
Tarragona;Total;2020-01-01;816772
Tarragona;Total;2019-01-01;804664
Tarragona;Total;2018-01-01;795902
Tarragona;Total;2017-01-01;791693
Tarragona;Total;2016-01-01;792299
Tarragona;Total;2015-01-01;795101
Tarragona;Total;2014-01-01;800962
Tarragona;Total;2013-01-01;810178
Tarragona;Total;2012-01-01;814199
Tarragona;Total;2011-01-01;811401
Tarragona;Total;2010-01-01;808420
Tarragona;Total;2009-01-01;803301
Tarragona;Total;2008-01-01;788895
Tarragona;Total;2007-01-01;757795
Tarragona;Total;2006-01-01;730466
Tarragona;Total;2005-01-01;704907
Tarragona;Total;2004-01-01;674144
Tarragona;Total;2003-01-01;654149
Tarragona;Total;2002-01-01;631156
Tarragona;Total;2001-01-01;612086
Tarragona;Total;2000-01-01;598533
Teruel;Total;2021-01-01;134545
Teruel;Total;2020-01-01;134176
Teruel;Total;2019-01-01;134137
Teruel;Total;2018-01-01;134572
Teruel;Total;2017-01-01;135562
Teruel;Total;2016-01-01;136977
Teruel;Total;2015-01-01;138932
Teruel;Total;2014-01-01;140365
Teruel;Total;2013-01-01;142183
Teruel;Total;2012-01-01;143728
Teruel;Total;2011-01-01;144607
Teruel;Total;2010-01-01;145277
Teruel;Total;2009-01-01;146751
Teruel;Total;2008-01-01;146324
Teruel;Total;2007-01-01;144046
Teruel;Total;2006-01-01;142160
Teruel;Total;2005-01-01;141091
Teruel;Total;2004-01-01;139333
Teruel;Total;2003-01-01;138686
Teruel;Total;2002-01-01;137342
Teruel;Total;2001-01-01;136233
Teruel;Total;2000-01-01;136473
Toledo;Total;2021-01-01;709403
Toledo;Total;2020-01-01;703772
Toledo;Total;2019-01-01;694844
Toledo;Total;2018-01-01;687391
Toledo;Total;2017-01-01;686841
Toledo;Total;2016-01-01;688672
Toledo;Total;2015-01-01;693371
Toledo;Total;2014-01-01;699136
Toledo;Total;2013-01-01;706407
Toledo;Total;2012-01-01;711228
Toledo;Total;2011-01-01;707242
Toledo;Total;2010-01-01;697959
Toledo;Total;2009-01-01;689635
Toledo;Total;2008-01-01;670203
Toledo;Total;2007-01-01;639621
Toledo;Total;2006-01-01;615618
Toledo;Total;2005-01-01;598256
Toledo;Total;2004-01-01;578060
Toledo;Total;2003-01-01;563099
Toledo;Total;2002-01-01;546538
Toledo;Total;2001-01-01;536131
Toledo;Total;2000-01-01;527965
Valencia;Total;2021-01-01;2589312
Valencia;Total;2020-01-01;2591875
Valencia;Total;2019-01-01;2565124
Valencia;Total;2018-01-01;2547986
Valencia;Total;2017-01-01;2540707
Valencia;Total;2016-01-01;2544264
Valencia;Total;2015-01-01;2543315
Valencia;Total;2014-01-01;2548898
Valencia;Total;2013-01-01;2566474
Valencia;Total;2012-01-01;2580792
Valencia;Total;2011-01-01;2578719
Valencia;Total;2010-01-01;2581147
Valencia;Total;2009-01-01;2575362
Valencia;Total;2008-01-01;2543209
Valencia;Total;2007-01-01;2486483
Valencia;Total;2006-01-01;2463592
Valencia;Total;2005-01-01;2416628
Valencia;Total;2004-01-01;2358919
Valencia;Total;2003-01-01;2320297
Valencia;Total;2002-01-01;2267503
Valencia;Total;2001-01-01;2227170
Valencia;Total;2000-01-01;2201200
Valladolid;Total;2021-01-01;519361
Valladolid;Total;2020-01-01;520649
Valladolid;Total;2019-01-01;519546
Valladolid;Total;2018-01-01;519851
Valladolid;Total;2017-01-01;521130
Valladolid;Total;2016-01-01;523679
Valladolid;Total;2015-01-01;526288
Valladolid;Total;2014-01-01;529157
Valladolid;Total;2013-01-01;532284
Valladolid;Total;2012-01-01;534280
Valladolid;Total;2011-01-01;534874
Valladolid;Total;2010-01-01;533640
Valladolid;Total;2009-01-01;532575
Valladolid;Total;2008-01-01;529019
Valladolid;Total;2007-01-01;521661
Valladolid;Total;2006-01-01;519249
Valladolid;Total;2005-01-01;514674
Valladolid;Total;2004-01-01;510863
Valladolid;Total;2003-01-01;506302
Valladolid;Total;2002-01-01;501157
Valladolid;Total;2001-01-01;497961
Valladolid;Total;2000-01-01;495690
Zamora;Total;2021-01-01;168725
Zamora;Total;2020-01-01;170588
Zamora;Total;2019-01-01;172539
Zamora;Total;2018-01-01;174549
Zamora;Total;2017-01-01;177404
Zamora;Total;2016-01-01;180406
Zamora;Total;2015-01-01;183436
Zamora;Total;2014-01-01;185432
Zamora;Total;2013-01-01;188270
Zamora;Total;2012-01-01;191612
Zamora;Total;2011-01-01;193383
Zamora;Total;2010-01-01;194214
Zamora;Total;2009-01-01;195665
Zamora;Total;2008-01-01;197221
Zamora;Total;2007-01-01;197237
Zamora;Total;2006-01-01;197492
Zamora;Total;2005-01-01;198045
Zamora;Total;2004-01-01;198524
Zamora;Total;2003-01-01;199688
Zamora;Total;2002-01-01;200678
Zamora;Total;2001-01-01;202356
Zamora;Total;2000-01-01;203469
Zaragoza;Total;2021-01-01;967452
Zaragoza;Total;2020-01-01;972528
Zaragoza;Total;2019-01-01;964693
Zaragoza;Total;2018-01-01;954811
Zaragoza;Total;2017-01-01;953486
Zaragoza;Total;2016-01-01;950507
Zaragoza;Total;2015-01-01;956006
Zaragoza;Total;2014-01-01;960111
Zaragoza;Total;2013-01-01;978638
Zaragoza;Total;2012-01-01;978130
Zaragoza;Total;2011-01-01;973325
Zaragoza;Total;2010-01-01;973252
Zaragoza;Total;2009-01-01;970313
Zaragoza;Total;2008-01-01;955323
Zaragoza;Total;2007-01-01;932502
Zaragoza;Total;2006-01-01;917288
Zaragoza;Total;2005-01-01;912072
Zaragoza;Total;2004-01-01;897350
Zaragoza;Total;2003-01-01;880118
Zaragoza;Total;2002-01-01;871209
Zaragoza;Total;2001-01-01;857565
Zaragoza;Total;2000-01-01;848006
Ceuta;Total;2021-01-01;83517
Ceuta;Total;2020-01-01;84202
Ceuta;Total;2019-01-01;84777
Ceuta;Total;2018-01-01;85144
Ceuta;Total;2017-01-01;84959
Ceuta;Total;2016-01-01;84519
Ceuta;Total;2015-01-01;84263
Ceuta;Total;2014-01-01;84963
Ceuta;Total;2013-01-01;84180
Ceuta;Total;2012-01-01;84018
Ceuta;Total;2011-01-01;82376
Ceuta;Total;2010-01-01;80579
Ceuta;Total;2009-01-01;78674
Ceuta;Total;2008-01-01;77389
Ceuta;Total;2007-01-01;76603
Ceuta;Total;2006-01-01;75861
Ceuta;Total;2005-01-01;75276
Ceuta;Total;2004-01-01;74654
Ceuta;Total;2003-01-01;74931
Ceuta;Total;2002-01-01;76152
Ceuta;Total;2001-01-01;75694
Ceuta;Total;2000-01-01;75241
Melilla;Total;2021-01-01;86261
Melilla;Total;2020-01-01;87076
Melilla;Total;2019-01-01;86487
Melilla;Total;2018-01-01;86384
Melilla;Total;2017-01-01;86120
Melilla;Total;2016-01-01;86026
Melilla;Total;2015-01-01;85584
Melilla;Total;2014-01-01;84509
Melilla;Total;2013-01-01;83679
Melilla;Total;2012-01-01;80802
Melilla;Total;2011-01-01;78476
Melilla;Total;2010-01-01;76034
Melilla;Total;2009-01-01;73460
Melilla;Total;2008-01-01;71448
Melilla;Total;2007-01-01;69440
Melilla;Total;2006-01-01;66871
Melilla;Total;2005-01-01;65488
Melilla;Total;2004-01-01;68016
Melilla;Total;2003-01-01;68463
Melilla;Total;2002-01-01;69184
Melilla;Total;2001-01-01;68789
Melilla;Total;2000-01-01;66263
