Sexo;Provincias;Periodo;Total
Ambos sexos;04 Almería;2005;78,75
Ambos sexos;04 Almería;2004;78,83
Ambos sexos;04 Almería;2003;78,36
Ambos sexos;04 Almería;2002;77,95
Ambos sexos;04 Almería;2001;78,33
Ambos sexos;04 Almería;2000;78,46
Ambos sexos;04 Almería;1999;77,82
Ambos sexos;04 Almería;1998;77,99
Ambos sexos;04 Almería;1997;77,61
Ambos sexos;04 Almería;1996;77,17
Ambos sexos;04 Almería;1995;77,73
Ambos sexos;04 Almería;1994;77,58
Ambos sexos;04 Almería;1993;76,88
Ambos sexos;04 Almería;1992;77,11
Ambos sexos;04 Almería;1991;76,72
Ambos sexos;04 Almería;1990;76,13
Ambos sexos;04 Almería;1989;75,90
Ambos sexos;04 Almería;1988;76,09
Ambos sexos;04 Almería;1987;76,20
Ambos sexos;04 Almería;1986;76,14
Ambos sexos;04 Almería;1985;76,59
Ambos sexos;04 Almería;1984;76,72
Ambos sexos;04 Almería;1983;75,81
Ambos sexos;04 Almería;1982;76,04
Ambos sexos;04 Almería;1981;74,75
Ambos sexos;04 Almería;1980;74,99
Ambos sexos;04 Almería;1979;74,01
Ambos sexos;04 Almería;1978;73,19
Ambos sexos;04 Almería;1977;73,89
Ambos sexos;04 Almería;1976;73,21
Ambos sexos;04 Almería;1975;72,68
Ambos sexos;01 Araba/Álava;2023;85,07
Ambos sexos;01 Araba/Álava;2022;84,13
Ambos sexos;01 Araba/Álava;2021;84,31
Ambos sexos;01 Araba/Álava;2020;83,59
Ambos sexos;01 Araba/Álava;2019;84,76
Ambos sexos;01 Araba/Álava;2018;84,32
Ambos sexos;01 Araba/Álava;2017;83,89
Ambos sexos;01 Araba/Álava;2016;84,18
Ambos sexos;01 Araba/Álava;2015;83,49
Ambos sexos;01 Araba/Álava;2014;84,38
Ambos sexos;01 Araba/Álava;2013;83,36
Ambos sexos;01 Araba/Álava;2012;83,53
Ambos sexos;01 Araba/Álava;2011;83,04
Ambos sexos;01 Araba/Álava;2010;83,19
Ambos sexos;01 Araba/Álava;2009;82,35
Ambos sexos;01 Araba/Álava;2008;82,55
Ambos sexos;01 Araba/Álava;2007;81,92
Ambos sexos;01 Araba/Álava;2006;82,20
Ambos sexos;01 Araba/Álava;2005;80,85
Ambos sexos;01 Araba/Álava;2004;81,78
Ambos sexos;01 Araba/Álava;2003;81,22
Ambos sexos;01 Araba/Álava;2002;81,44
Ambos sexos;01 Araba/Álava;2001;80,60
Ambos sexos;01 Araba/Álava;2000;80,15
Ambos sexos;01 Araba/Álava;1999;79,87
Ambos sexos;01 Araba/Álava;1998;79,88
Ambos sexos;01 Araba/Álava;1997;79,88
Ambos sexos;01 Araba/Álava;1996;79,22
Ambos sexos;01 Araba/Álava;1995;79,00
Ambos sexos;01 Araba/Álava;1994;79,23
Ambos sexos;01 Araba/Álava;1993;78,99
Ambos sexos;01 Araba/Álava;1992;78,99
Ambos sexos;01 Araba/Álava;1991;77,83
Ambos sexos;01 Araba/Álava;1990;77,51
Ambos sexos;01 Araba/Álava;1989;77,94
Ambos sexos;01 Araba/Álava;1988;77,33
Ambos sexos;01 Araba/Álava;1987;77,78
Ambos sexos;01 Araba/Álava;1986;77,31
Ambos sexos;01 Araba/Álava;1985;77,57
Ambos sexos;01 Araba/Álava;1984;77,86
Ambos sexos;01 Araba/Álava;1983;76,95
Ambos sexos;01 Araba/Álava;1982;77,66
Ambos sexos;01 Araba/Álava;1981;76,67
Ambos sexos;01 Araba/Álava;1980;75,44
Ambos sexos;01 Araba/Álava;1979;74,49
Ambos sexos;01 Araba/Álava;1978;73,43
Ambos sexos;01 Araba/Álava;1977;74,06
Ambos sexos;01 Araba/Álava;1976;73,12
Ambos sexos;01 Araba/Álava;1975;72,99
Ambos sexos;33 Asturias;2023;83,11
Ambos sexos;33 Asturias;2022;82,46
Ambos sexos;33 Asturias;2021;82,75
Ambos sexos;33 Asturias;2020;82,10
Ambos sexos;33 Asturias;2019;82,84
Ambos sexos;33 Asturias;2018;82,64
Ambos sexos;33 Asturias;2017;82,59
Ambos sexos;33 Asturias;2016;82,38
Ambos sexos;33 Asturias;2015;82,21
Ambos sexos;33 Asturias;2014;82,11
Ambos sexos;33 Asturias;2013;82,19
Ambos sexos;33 Asturias;2012;81,52
Ambos sexos;33 Asturias;2011;81,30
Ambos sexos;33 Asturias;2010;81,18
Ambos sexos;33 Asturias;2009;81,09
Ambos sexos;33 Asturias;2008;80,70
Ambos sexos;33 Asturias;2007;80,37
Ambos sexos;33 Asturias;2006;80,19
Ambos sexos;33 Asturias;2005;79,90
Ambos sexos;33 Asturias;2004;79,84
Ambos sexos;33 Asturias;2003;79,18
Ambos sexos;33 Asturias;2002;79,52
Ambos sexos;33 Asturias;2001;79,50
Ambos sexos;33 Asturias;2000;78,79
Ambos sexos;33 Asturias;1999;78,40
Ambos sexos;33 Asturias;1998;78,36
Ambos sexos;33 Asturias;1997;78,31
Ambos sexos;33 Asturias;1996;77,59
Ambos sexos;33 Asturias;1995;77,37
Ambos sexos;33 Asturias;1994;77,57
Ambos sexos;33 Asturias;1993;76,89
Ambos sexos;33 Asturias;1992;77,10
Ambos sexos;33 Asturias;1991;76,46
Ambos sexos;33 Asturias;1990;76,08
Ambos sexos;33 Asturias;1989;76,27
Ambos sexos;33 Asturias;1988;76,00
Ambos sexos;33 Asturias;1987;76,00
Ambos sexos;33 Asturias;1986;76,00
Ambos sexos;33 Asturias;1985;75,53
Ambos sexos;33 Asturias;1984;75,57
Ambos sexos;33 Asturias;1983;75,46
Ambos sexos;33 Asturias;1982;75,13
Ambos sexos;33 Asturias;1981;75,04
Ambos sexos;33 Asturias;1980;74,42
Ambos sexos;33 Asturias;1979;74,20
Ambos sexos;33 Asturias;1978;74,11
Ambos sexos;33 Asturias;1977;73,35
Ambos sexos;33 Asturias;1976;73,37
Ambos sexos;33 Asturias;1975;73,15
Ambos sexos;05 Ávila;2023;84,41
Ambos sexos;05 Ávila;2022;83,41
Ambos sexos;05 Ávila;2021;83,57
Ambos sexos;05 Ávila;2020;82,24
Ambos sexos;05 Ávila;2019;83,95
Ambos sexos;05 Ávila;2018;83,44
Ambos sexos;05 Ávila;2017;83,32
Ambos sexos;05 Ávila;2016;83,28
Ambos sexos;05 Ávila;2015;82,57
Ambos sexos;05 Ávila;2014;83,15
Ambos sexos;05 Ávila;2013;82,88
Ambos sexos;05 Ávila;2012;83,31
Ambos sexos;05 Ávila;2011;82,72
Ambos sexos;05 Ávila;2010;82,23
Ambos sexos;05 Ávila;2009;82,96
Ambos sexos;05 Ávila;2008;82,07
Ambos sexos;05 Ávila;2007;81,07
Ambos sexos;05 Ávila;2006;81,34
Ambos sexos;05 Ávila;2005;81,00
Ambos sexos;05 Ávila;2004;81,37
Ambos sexos;05 Ávila;2003;81,11
Ambos sexos;05 Ávila;2002;80,12
Ambos sexos;05 Ávila;2001;80,76
Ambos sexos;05 Ávila;2000;80,51
Ambos sexos;05 Ávila;1999;80,09
Ambos sexos;05 Ávila;1998;79,72
Ambos sexos;05 Ávila;1997;80,38
Ambos sexos;05 Ávila;1996;79,45
Ambos sexos;05 Ávila;1995;79,76
Ambos sexos;05 Ávila;1994;79,37
Ambos sexos;05 Ávila;1993;79,45
Ambos sexos;05 Ávila;1992;79,21
Ambos sexos;05 Ávila;1991;78,97
Ambos sexos;05 Ávila;1990;78,33
Ambos sexos;05 Ávila;1989;78,36
Ambos sexos;05 Ávila;1988;78,61
