Provincia;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ourense;11.159;12.300;13.398;14.158;14.803;15.909;17.063;17.981;18.819;17.897;18.515;18.766;18.595;18.417;18.508;19.284;20.206;21.035;22.030;23.276;21.005;23.878
Asturias;13.279;14.340;15.188;16.039;17.055;18.482;20.059;21.416;21.987;20.778;20.992;20.706;19.867;19.475;19.588;20.497;20.913;21.897;22.651;23.220;21.069;23.446
Palencia;14.571;15.669;17.422;18.695;19.805;21.133;22.119;24.196;24.788;23.740;23.498;23.715;22.517;22.465;22.414;23.857;25.476;25.054;27.101;27.505;25.293;27.331
Las_Palmas;15.521;16.700;17.258;17.850;18.123;18.554;19.353;20.021;20.147;19.219;18.796;18.561;17.743;17.832;17.876;18.321;19.181;19.945;20.595;20.864;16.895;18.912
Pontevedra;12.672;13.611;14.137;15.128;16.376;17.434;19.036;20.494;21.205;20.048;19.720;19.172;18.530;18.673;19.086;19.932;20.460;21.815;22.157;23.013;21.304;23.251
Salamanca;12.537;13.851;14.618;15.779;16.590;17.232;18.197;19.022;19.280;19.105;18.370;18.285;17.716;17.326;17.553;18.417;19.332;20.030;20.735;21.588;20.029;22.643
S.C.Tenerife;14.398;15.530;16.328;17.073;17.824;18.877;19.628;20.554;20.835;19.641;19.964;19.688;18.945;18.519;18.696;19.494;19.745;20.681;21.134;21.478;17.611;19.138
Cantabria;14.966;16.156;17.099;17.801;18.744;19.981;21.184;22.423;22.852;21.834;21.850;21.435;20.691;20.299;20.747;21.329;22.072;22.922;23.818;24.515;22.279;24.303
Segovia;15.776;16.429;17.737;18.650;19.416;20.741;21.948;22.808;22.270;21.250;21.474;21.034;20.171;19.974;20.527;21.609;21.738;21.163;22.012;22.690;20.668;23.743
Sevilla;12.121;13.142;14.323;15.373;16.309;17.573;18.590;19.814;19.946;19.124;18.891;18.686;18.194;17.669;18.032;18.594;18.947;19.774;20.429;21.043;19.208;21.346
Soria;15.771;16.343;17.775;18.825;20.172;20.385;21.548;22.897;23.364;22.193;23.036;23.012;21.833;22.241;22.749;23.763;24.056;24.746;28.019;28.421;25.821;28.912
Tarragona;20.226;21.970;23.728;24.375;25.960;25.448;26.476;27.469;27.654;26.518;26.997;26.403;25.539;25.457;26.151;27.832;29.105;30.395;30.427;30.643;26.378;29.817
Teruel;17.137;18.328;19.449;19.843;20.739;22.355;23.667;24.955;25.799;24.210;24.291;24.009;23.643;23.994;24.326;24.012;23.993;23.935;25.241;25.570;23.292;26.341
Toledo;13.063;14.164;14.670;15.653;16.049;17.557;18.777;19.742;19.724;18.532;17.844;17.254;16.425;16.325;16.273;16.982;17.629;18.217;18.940;19.308;17.804;19.714
Valencia;15.276;16.613;17.562;18.284;19.138;19.886;21.248;22.610;23.079;21.712;21.786;21.506;20.629;20.594;21.115;21.862;22.198;22.795;23.825;24.397;22.104;23.967
Valladolid;16.053;17.165;18.109;18.869;19.992;21.379;22.590;23.792;23.816;22.830;23.521;23.110;22.355;22.240;22.706;23.737;25.043;26.362;27.580;28.079;26.067;26.940
Bizkaia;18.605;19.474;20.565;21.845;23.073;24.749;26.141;27.546;28.810;27.922;28.342;27.849;27.224;26.850;27.560;28.852;29.532;30.047;31.099;31.944;28.583;31.265
Zamora;11.051;11.869;12.754;13.709;14.799;15.168;16.727;17.805;18.159;17.803;18.235;18.608;18.651;18.112;18.132;18.984;19.366;18.454;19.328;20.270;18.827;21.814
Zaragoza;17.189;18.273;19.546;20.722;21.912;23.225;24.806;26.312;26.462;25.207;25.371;24.939;23.874;23.946;24.378;25.194;26.118;27.582;28.597;29.386;27.197;29.279
