Air Pollutant,Air Pollutant Description,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,Province,Quality,Respiratory_diseases_total,Life_expectancy_total,pib
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,20.621,ug/m3,Traffic,urban,-5.6653,40.9792,797.0,Salamanca,BUENA,483.0,83.77,17.716
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,12.061,ug/m3,Industrial,suburban,-6.9203,37.1998,8.0,Huelva,BUENA,510.0,80.04,17.373
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,24.072,ug/m3,Traffic,urban,-2.0109,43.3094,3.0,Gipuzkoa,BUENA,611.0,82.86,28.781
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,11.447,ug/m3,Background,urban,-0.4669,38.7064,534.0,Alicante/Alacant,BUENA,1.505,81.99,16.425
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,22.434,ug/m3,Background,suburban,-3.6089,40.465,669.0,Madrid,BUENA,6.429,83.64,30.566
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,11.54,ug/m3,Industrial,urban,-0.1897,40.0519,160.0,Castellon/Castello,BUENA,501.0,82.48,21.469
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,16.451,ug/m3,Industrial,rural,-5.3808,36.1862,15.0,Cadiz,BUENA,1.047,80.02,16.196
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,21.73,ug/m3,Background,urban,-5.9796,37.3472,26.0,Sevilla,BUENA,1.535,80.79,18.194
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,17.411,ug/m3,Background,urban,-3.1344,43.2129,62.0,Bizkaia,BUENA,1.049,82.5,27.224
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,13.397,ug/m3,Traffic,urban,-4.5383,42.0194,953.0,Palencia,BUENA,255.0,82.4,22.517
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,6.241,ug/m3,Industrial,rural,-4.8272,42.7036,1050.0,Palencia,BUENA,255.0,82.4,22.517
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,29.441,ug/m3,Traffic,urban,-0.4083,39.4811,11.0,Valencia,BUENA,2.47,81.61,20.629
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,7.337,ug/m3,Background,rural,-7.4089,42.0616,760.0,Ourense,BUENA,590.0,82.39,18.595
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,37.872,ug/m3,Traffic,suburban,2.0821,41.3218,7.0,Barcelona,BUENA,4.982,82.57,25.961
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,57.479,ug/m3,Traffic,urban,-3.7186,40.3847,605.0,Madrid,RAZONABLEMENTE BUENA,6.429,83.64,30.566
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,21.311,ug/m3,Background,suburban,2.2873,42.0033,460.0,Barcelona,BUENA,4.982,82.57,25.961
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,28.409,ug/m3,Background,urban,2.0425,41.4921,171.0,Barcelona,BUENA,4.982,82.57,25.961
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,27.575,ug/m3,Traffic,urban,-5.9275,43.5589,12.0,Asturias,BUENA,1.481,81.52,19.867
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,7.538,ug/m3,Background,rural,0.1819,42.4578,1005.0,Huesca,BUENA,268.0,82.76,24.813
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,35.364,ug/m3,Traffic,urban,-5.6735,43.5299,29.0,Asturias,BUENA,1.481,81.52,19.867
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,31.305,ug/m3,Background,urban,-3.8768,40.3242,650.0,Madrid,BUENA,6.429,83.64,30.566
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,42.15,ug/m3,Background,urban,2.1874,41.3864,7.0,Barcelona,RAZONABLEMENTE BUENA,4.982,82.57,25.961
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,30.909,ug/m3,Traffic,suburban,-0.8711,41.6703,195.0,Zaragoza,BUENA,1.077,82.55,23.874
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,19.803,ug/m3,Background,urban,-3.7903,43.4678,30.0,Cantabria,BUENA,610.0,82.54,20.691
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,42.413,ug/m3,Traffic,urban,-3.7545,40.3397,640.0,Madrid,RAZONABLEMENTE BUENA,6.429,83.64,30.566
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,2.524,ug/m3,Background,rural,-3.1425,41.2742,1360.0,Guadalajara,BUENA,253.0,83.77,18.989
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,28.949,ug/m3,Industrial,suburban,-1.2308,37.9756,80.0,Murcia,BUENA,1.441,81.72,18.444
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,14.839,ug/m3,Background,suburban,-6.2031,36.4606,35.0,Cadiz,BUENA,1.047,80.02,16.196
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,7.797,ug/m3,Background,rural,-1.6269,42.0747,383.0,Navarra,BUENA,639.0,83.42,27.184
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,14.217,ug/m3,Industrial,suburban,-8.506,43.3023,100.0,A Coruna,BUENA,1.367,82.22,20.548
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,30.299,ug/m3,Traffic,urban,-8.4092,43.3828,25.0,A Coruna,BUENA,1.367,82.22,20.548
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,11.786,ug/m3,Background,urban,-3.6361,42.3361,929.0,Burgos,BUENA,469.0,82.89,25.468
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,6.774,ug/m3,Background,rural,-1.5856,42.2083,475.0,Navarra,BUENA,639.0,83.42,27.184
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,35.455,ug/m3,Background,urban,-3.575,40.4747,631.0,Madrid,BUENA,6.429,83.64,30.566
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,28.612,ug/m3,Background,urban,-4.4475,36.7196,36.0,Malaga,BUENA,1.336,81.26,16.257
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2012-01-01,5.13,ug/m3,Background,rural,-3.5342,37.2372,1230.0,Granada,BUENA,917.0,81.16,15.971
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,24.492,ug/m3,Background,Urban,-1.9844,43.3028,88.0,Gipuzkoa,BUENA,601.0,83.04,28.283
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,23.679,ug/m3,Traffic,Suburban,-2.1914,43.0481,153.0,Gipuzkoa,BUENA,601.0,83.04,28.283
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,26.272,ug/m3,Traffic,Urban,-2.6614,42.8436,50.0,Araba/Alava,BUENA,276.0,83.36,33.371
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,29.144,ug/m3,Traffic,Urban,-3.6453,40.5404,671.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,8.073,ug/m3,Background,Urban,-6.3381,38.9075,214.0,Badajoz,BUENA,823.0,81.54,15.742
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,26.234,ug/m3,Background,Suburban,-3.8768,40.3242,650.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,23.693,ug/m3,Background,Suburban,-3.4776,40.4495,581.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,10.358,ug/m3,Industrial,Rural,-8.4964,43.0935,270.0,A Coruna,BUENA,1.291,82.34,20.621
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,29.736,ug/m3,Traffic,Urban,-4.0143,40.6339,873.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,7.487,ug/m3,Background,Suburban,-6.1472,40.0778,181.0,Caceres,BUENA,568.0,82.34,16.511
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,14.402,ug/m3,Industrial,Rural,-8.1944,43.177,380.0,A Coruna,BUENA,1.291,82.34,20.621
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,4.175,ug/m3,Background,Rural,-7.4089,42.0616,760.0,Ourense,BUENA,492.0,82.63,18.417
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,17.93,ug/m3,Background,Urban,-3.7903,43.4678,30.0,Cantabria,BUENA,623.0,82.96,20.299
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,15.282,ug/m3,Background,Suburban,1.9915,41.3031,25.0,Barcelona,BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,41.211,ug/m3,Traffic,Urban,-3.6772,40.4517,708.0,Madrid,RAZONABLEMENTE BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,21.122,ug/m3,Background,Urban,-0.8936,41.6353,220.0,Zaragoza,BUENA,873.0,82.98,23.946
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,5.327,ug/m3,Background,Suburban,-0.6033,39.9306,616.0,Castellon/Castello,BUENA,521.0,82.43,21.644
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,1.923,ug/m3,Background,Rural,-4.2531,43.1533,650.0,Cantabria,BUENA,623.0,82.96,20.299
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,24.135,ug/m3,Background,Urban,1.2417,41.1174,13.0,Tarragona,BUENA,625.0,82.52,25.457
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,12.893,ug/m3,Background,Suburban,-2.3905,36.865,55.0,Almeria,BUENA,551.0,81.58,16.759
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,42.785,ug/m3,Traffic,Urban,1.9749,41.4508,40.0,Barcelona,RAZONABLEMENTE BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,23.238,ug/m3,Background,Urban,-5.6707,43.5166,51.0,Asturias,BUENA,1.3,82.19,19.475
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,12.907,ug/m3,Industrial,Suburban,-2.1282,36.9339,152.0,Almeria,BUENA,551.0,81.58,16.759
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,22.08,ug/m3,Traffic,Urban,0.6157,41.6158,170.0,Lleida,BUENA,533.0,82.61,27.463
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,17.707,ug/m3,Traffic,Suburban,-5.3837,36.2039,51.0,Cadiz,BUENA,940.0,80.66,15.843
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,11.376,ug/m3,Background,Suburban,-5.6397,40.9608,743.0,Salamanca,BUENA,437.0,84.31,17.326
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,8.712,ug/m3,Background,Suburban,-4.7008,40.6647,1150.0,Avila,BUENA,239.0,82.88,17.565
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,19.591,ug/m3,Traffic,Urban,-0.7175,38.2592,99.0,Alicante/Alacant,BUENA,1.416,82.57,16.346
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,21.024,ug/m3,Industrial,Suburban,2.0574,41.3866,81.0,Barcelona,BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,18.707,ug/m3,Industrial,Suburban,-5.8989,43.5503,8.0,Asturias,BUENA,1.3,82.19,19.475
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,53.691,ug/m3,Traffic,Urban,-3.7186,40.3847,605.0,Madrid,RAZONABLEMENTE BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,17.819,ug/m3,Traffic,Urban,-4.7467,41.6206,690.0,Valladolid,BUENA,471.0,83.69,22.24
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,33.282,ug/m3,Background,Urban,2.115,41.3705,29.0,Barcelona,BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,16.102,ug/m3,Industrial,Suburban,1.2177,41.1549,56.0,Tarragona,BUENA,625.0,82.52,25.457
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,32.125,ug/m3,Background,Urban,-3.6603,40.4942,615.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,14.111,ug/m3,Background,Urban,-1.1067,40.3364,915.0,Teruel,BUENA,176.0,83.02,23.994
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,12.641,ug/m3,Industrial,Urban,-5.6897,43.3067,206.0,Asturias,BUENA,1.3,82.19,19.475
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,22.032,ug/m3,Traffic,Urban,-2.4667,41.7667,1090.0,Soria,BUENA,122.0,84.45,22.241
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,14.742,ug/m3,Industrial,Urban,-2.9175,42.6844,471.0,Burgos,BUENA,392.0,83.57,24.696
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,21.81,ug/m3,Background,Urban,-4.7623,37.8926,119.0,Cordoba,BUENA,892.0,82.11,15.71
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,19.988,ug/m3,Traffic,Urban,-4.7406,41.63,683.0,Valladolid,BUENA,471.0,83.69,22.24
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,4.756,ug/m3,Industrial,Suburban,-4.9092,41.3164,721.0,Valladolid,BUENA,471.0,83.69,22.24
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,9.844,ug/m3,Industrial,Urban,-1.8954,36.9968,5.0,Almeria,BUENA,551.0,81.58,16.759
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,23.171,ug/m3,Traffic,Urban,-0.4039,42.1361,488.0,Huesca,BUENA,212.0,83.43,25.616
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,40.993,ug/m3,Background,Suburban,1.9232,41.4756,75.0,Barcelona,RAZONABLEMENTE BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,22.514,ug/m3,Background,Urban,-3.5173,36.7431,50.0,Granada,BUENA,817.0,81.94,15.877
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,29.043,ug/m3,Traffic,Urban,-4.0428,43.3675,18.0,Cantabria,BUENA,623.0,82.96,20.299
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,37.405,ug/m3,Background,Urban,-3.5806,40.4625,619.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,21.513,ug/m3,Industrial,Urban,-4.1115,38.6893,705.0,Ciudad Real,BUENA,637.0,82.43,18.416
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,21.392,ug/m3,Background,Urban,-4.0636,43.3558,20.0,Cantabria,BUENA,623.0,82.96,20.299
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,17.433,ug/m3,Traffic,Urban,-3.6756,42.3508,929.0,Burgos,BUENA,392.0,83.57,24.696
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,23.803,ug/m3,Background,Urban,-0.5067,38.3403,55.0,Alicante/Alacant,BUENA,1.416,82.57,16.346
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,19.751,ug/m3,Background,Urban,-4.0642,43.3464,20.0,Cantabria,BUENA,623.0,82.96,20.299
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,9.969,ug/m3,Industrial,Rural,-7.4519,42.7261,620.0,Lugo,BUENA,546.0,82.66,20.19
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,8.816,ug/m3,Background,Suburban,-3.2646,40.571,630.0,Guadalajara,BUENA,226.0,84.53,18.484
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,11.684,ug/m3,Traffic,Suburban,-3.2766,40.1672,761.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,35.711,ug/m3,Traffic,Urban,-1.9607,43.322,23.0,Gipuzkoa,BUENA,601.0,83.04,28.283
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,2.818,ug/m3,Industrial,Rural,-7.8398,43.4708,552.0,A Coruna,BUENA,1.291,82.34,20.621
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,13.033,ug/m3,Industrial,Suburban,-3.1127,43.3207,30.0,Bizkaia,BUENA,998.0,83.13,26.85
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,29.745,ug/m3,Traffic,Urban,-3.7169,40.3145,622.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,31.302,ug/m3,Traffic,Urban,-1.9777,43.2675,18.0,Gipuzkoa,BUENA,601.0,83.04,28.283
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,10.733,ug/m3,Background,Suburban,-1.8521,38.9793,686.0,Albacete,BUENA,375.0,82.84,17.802
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,22.445,ug/m3,Traffic,Suburban,1.2397,41.1595,77.0,Tarragona,BUENA,625.0,82.52,25.457
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,24.179,ug/m3,Industrial,Suburban,-1.2321,37.9745,80.0,Murcia,BUENA,1.252,82.27,18.502
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,36.406,ug/m3,Traffic,Urban,-4.863,36.511,39.0,Malaga,BUENA,1.154,81.71,16.016
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,11.235,ug/m3,Industrial,Rural,-4.47,41.9328,721.0,Palencia,BUENA,211.0,83.18,22.465
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,29.495,ug/m3,Background,Urban,-3.6897,40.5006,715.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,2.946,ug/m3,Background,Rural,-6.555,37.0519,35.0,Huelva,BUENA,424.0,80.72,16.185
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,15.064,ug/m3,Background,Urban,-6.1172,36.6885,62.0,Cadiz,BUENA,940.0,80.66,15.843
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,11.562,ug/m3,Background,Suburban,-0.4578,39.15,60.0,Valencia,BUENA,2.151,82.18,20.594
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,5.339,ug/m3,Background,Rural,-5.6635,36.2339,189.0,Cadiz,BUENA,940.0,80.66,15.843
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,43.242,ug/m3,Traffic,Urban,-3.7064,40.4453,699.0,Madrid,RAZONABLEMENTE BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,20.415,ug/m3,Industrial,Suburban,1.6259,41.5776,284.0,Barcelona,BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,32.252,ug/m3,Traffic,Urban,-3.6453,40.4081,685.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,8.431,ug/m3,Background,Suburban,-1.9791,37.193,380.0,Almeria,BUENA,551.0,81.58,16.759
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,20.764,ug/m3,Background,Urban,-3.7816,37.7826,480.0,Jaen,BUENA,740.0,81.73,15.78
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,2.325,ug/m3,Background,Rural,-5.8974,41.2389,1003.0,Salamanca,BUENA,437.0,84.31,17.326
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,13.193,ug/m3,Industrial,Rural,-5.4047,36.2044,23.0,Cadiz,BUENA,940.0,80.66,15.843
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,25.848,ug/m3,Industrial,Suburban,-5.8108,43.4036,163.0,Asturias,BUENA,1.3,82.19,19.475
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,10.145,ug/m3,Industrial,Urban,-6.8446,37.3154,23.0,Huelva,BUENA,424.0,80.72,16.185
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,35.406,ug/m3,Traffic,Urban,-4.446,36.7073,380.0,Malaga,BUENA,1.154,81.71,16.016
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,1.335,ug/m3,Background,Rural,0.7296,42.0513,1570.0,Lleida,BUENA,533.0,82.61,27.463
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,5.963,ug/m3,Industrial,Rural,-1.81,42.307,460.0,Navarra,BUENA,552.0,83.49,27.213
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,32.046,ug/m3,Background,Urban,-3.6867,40.3981,609.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,36.783,ug/m3,Traffic,Urban,-3.7545,40.3397,640.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,16.203,ug/m3,Background,Urban,-5.8728,43.3727,276.0,Asturias,BUENA,1.3,82.19,19.475
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,23.012,ug/m3,Background,Suburban,-4.0208,39.8681,500.0,Toledo,BUENA,666.0,83.46,16.325
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,5.414,ug/m3,Background,Rural,-5.9397,39.8492,376.0,Caceres,BUENA,568.0,82.34,16.511
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,42.498,ug/m3,Traffic,Urban,-3.6883,40.4658,729.0,Madrid,RAZONABLEMENTE BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,20.733,ug/m3,Industrial,Rural,1.6473,41.3084,155.0,Barcelona,BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,3.528,ug/m3,Background,Rural,-0.8319,39.7081,430.0,Valencia,BUENA,2.151,82.18,20.594
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,9.201,ug/m3,Background,Rural,-1.2814,39.5586,804.0,Valencia,BUENA,2.151,82.18,20.594
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,25.021,ug/m3,Traffic,Urban,-0.19,38.9667,22.0,Valencia,BUENA,2.151,82.18,20.594
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,41.17,ug/m3,Background,Urban,2.1254,41.5127,131.0,Barcelona,RAZONABLEMENTE BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,5.571,ug/m3,Industrial,Rural,-0.0575,40.8419,830.0,Teruel,BUENA,176.0,83.02,23.994
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,25.102,ug/m3,Background,Urban,2.0425,41.4921,171.0,Barcelona,BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,15.863,ug/m3,Background,Suburban,-4.7796,37.9027,152.0,Cordoba,BUENA,892.0,82.11,15.71
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,30.247,ug/m3,Background,Urban,-3.8337,40.3419,693.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,22.152,ug/m3,Background,Suburban,2.2873,42.0033,460.0,Barcelona,BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,23.195,ug/m3,Traffic,Urban,-0.4178,39.5094,25.0,Valencia,BUENA,2.151,82.18,20.594
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,5.026,ug/m3,Background,Rural,-3.4679,40.909,995.0,Madrid,BUENA,6.035,84.13,30.264
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,19.998,ug/m3,Traffic,Urban,-5.6653,40.9792,797.0,Salamanca,BUENA,437.0,84.31,17.326
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,19.597,ug/m3,Background,Suburban,-3.6193,37.1356,684.0,Granada,BUENA,817.0,81.94,15.877
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,9.491,ug/m3,Industrial,Suburban,-8.4716,43.1866,340.0,A Coruna,BUENA,1.291,82.34,20.621
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,3.161,ug/m3,Industrial,Rural,-9.1189,43.0089,198.0,A Coruna,BUENA,1.291,82.34,20.621
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,12.415,ug/m3,Traffic,Urban,-8.2431,43.4815,5.0,A Coruna,BUENA,1.291,82.34,20.621
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,7.507,ug/m3,Industrial,Urban,-9.1861,42.9536,38.0,A Coruna,BUENA,1.291,82.34,20.621
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,34.667,ug/m3,Background,Suburban,2.0098,41.3922,38.0,Barcelona,BUENA,4.422,83.06,25.975
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,2.161,ug/m3,Background,Rural,-0.3592,39.7822,200.0,Valencia,BUENA,2.151,82.18,20.594
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,24.359,ug/m3,Industrial,Suburban,-5.9273,43.5792,6.0,Asturias,BUENA,1.3,82.19,19.475
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,27.503,ug/m3,Traffic,Urban,-5.6989,43.5388,19.0,Asturias,BUENA,1.3,82.19,19.475
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2013-01-01,28.945,ug/m3,Background,Suburban,2.4958,41.689,145.0,Barcelona,BUENA,4.422,83.06,25.975
