Air Pollutant,Air Pollutant Description,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,Province,Quality,Respiratory_diseases_total,Life_expectancy_total,pib
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,25.208,ug/m3,Industrial,urban,-0.9803,37.6111,10.0,Murcia,BUENA,1.077,78.42,13.679
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,7.714,ug/m3,Background,rural,-0.1519,41.5056,327.0,Zaragoza,BUENA,973.0,79.68,17.189
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,45.745,ug/m3,Traffic,urban,-4.1158,40.9497,1002.0,Segovia,RAZONABLEMENTE BUENA,169.0,81.34,15.776
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,31.632,ug/m3,Traffic,urban,2.2095,41.4474,23.0,Barcelona,BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,31.588,ug/m3,Industrial,urban,-4.4939,41.9228,720.0,Palencia,BUENA,253.0,79.47,14.571
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,24.011,ug/m3,Background,urban,-4.0642,43.3464,20.0,Cantabria,BUENA,727.0,79.35,14.966
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,45.218,ug/m3,Traffic,urban,-5.6461,43.5378,19.0,Asturias,RAZONABLEMENTE BUENA,1.473,78.79,13.279
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,45.937,ug/m3,Industrial,urban,-4.1115,38.6893,705.0,Ciudad Real,RAZONABLEMENTE BUENA,552.0,79.56,12.812
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,32.261,ug/m3,Industrial,suburban,1.6259,41.5776,284.0,Barcelona,BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,39.316,ug/m3,Traffic,urban,-0.2731,39.675,46.0,Valencia,BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,7.847,ug/m3,Industrial,rural,0.0094,40.5847,1235.0,Castellon/Castello,BUENA,436.0,79.17,18.402
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,6.988,ug/m3,Background,rural,-4.85,43.4392,134.0,Asturias,BUENA,1.473,78.79,13.279
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,51.452,ug/m3,Traffic,urban,1.7,41.3453,225.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,23.317,ug/m3,Traffic,suburban,1.1202,41.1508,102.0,Tarragona,BUENA,630.0,79.2,20.226
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,39.72,ug/m3,Background,urban,-6.0056,37.3753,9.0,Sevilla,BUENA,1.333,78.01,12.121
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,77.837,ug/m3,Traffic,urban,-3.6908,40.4378,669.0,Madrid,RAZONABLEMENTE BUENA,4.662,80.36,21.177
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,30.788,ug/m3,Traffic,suburban,-3.0133,43.3542,64.0,Bizkaia,BUENA,1.065,79.3,18.605
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,22.48,ug/m3,Industrial,suburban,1.2008,41.1037,5.0,Tarragona,BUENA,630.0,79.2,20.226
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,3.759,ug/m3,Background,rural,-4.2531,43.1533,650.0,Cantabria,BUENA,727.0,79.35,14.966
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,12.067,ug/m3,Background,rural,-3.5342,37.2372,1230.0,Granada,BUENA,748.0,78.33,10.604
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,8.868,ug/m3,Background,suburban,-0.2492,40.4167,1125.0,Castellon/Castello,BUENA,436.0,79.17,18.402
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,38.864,ug/m3,Traffic,urban,-0.2347,39.6672,10.0,Valencia,BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,68.955,ug/m3,Traffic,urban,2.1538,41.3853,26.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,31.273,ug/m3,Industrial,suburban,2.4958,41.689,145.0,Barcelona,BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,61.036,ug/m3,Traffic,urban,-0.3808,39.4683,11.0,Valencia,RAZONABLEMENTE BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,26.429,ug/m3,Industrial,urban,-5.3484,36.1594,1.0,Cadiz,BUENA,843.0,77.32,12.147
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,43.849,ug/m3,Industrial,suburban,2.3136,41.6011,145.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,56.743,ug/m3,Traffic,urban,-0.3881,39.4814,11.0,Valencia,RAZONABLEMENTE BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,39.823,ug/m3,Industrial,suburban,1.9232,41.4756,75.0,Barcelona,BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,30.444,ug/m3,Traffic,urban,-5.6558,40.9653,797.0,Salamanca,BUENA,393.0,80.94,12.537
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,33.69,ug/m3,Traffic,urban,-3.7892,37.7669,571.0,Jaen,BUENA,709.0,78.61,10.432
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,42.13,ug/m3,Background,urban,-0.4108,39.5075,39.0,Valencia,RAZONABLEMENTE BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,17.652,ug/m3,Background,urban,-4.1356,43.0119,850.0,Cantabria,BUENA,727.0,79.35,14.966
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,15.919,ug/m3,Industrial,suburban,-4.8431,42.8281,1124.0,Palencia,BUENA,253.0,79.47,14.571
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,35.541,ug/m3,Traffic,urban,-0.4758,38.7039,562.0,Alicante/Alacant,BUENA,1.221,78.89,14.14
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,62.965,ug/m3,Traffic,urban,-3.6047,37.1864,691.0,Granada,RAZONABLEMENTE BUENA,748.0,78.33,10.604
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,43.334,ug/m3,Background,urban,-0.4453,39.5061,40.0,Valencia,RAZONABLEMENTE BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,99.526,ug/m3,Traffic,urban,-0.3919,39.4633,11.0,Valencia,REGULAR,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,32.846,ug/m3,Industrial,suburban,-3.0741,43.3205,136.0,Bizkaia,BUENA,1.065,79.3,18.605
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,49.138,ug/m3,Traffic,urban,-2.9772,43.3027,4.0,Bizkaia,RAZONABLEMENTE BUENA,1.065,79.3,18.605
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,71.239,ug/m3,Traffic,urban,-3.6886,40.4683,729.0,Madrid,RAZONABLEMENTE BUENA,4.662,80.36,21.177
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,6.512,ug/m3,Background,rural,-6.9236,38.4728,393.0,Badajoz,BUENA,836.0,78.39,10.472
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,30.561,ug/m3,Industrial,urban,-2.6379,43.1683,113.0,Bizkaia,BUENA,1.065,79.3,18.605
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,32.543,ug/m3,Traffic,urban,-2.4904,43.0642,218.0,Gipuzkoa,BUENA,672.0,79.91,20.046
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,30.317,ug/m3,Industrial,urban,-2.8837,43.2411,125.0,Bizkaia,BUENA,1.065,79.3,18.605
