Province;Periodo;Respiratory_diseases_total;Life_expectancy_total
Guadalajara;1982-01-01;110,000;78,130
Guadalajara;1983-01-01;135,000;77,710
Guadalajara;1984-01-01;102,000;77,350
Guadalajara;1985-01-01;150,000;78,000
Guadalajara;1986-01-01;139,000;78,550
Guadalajara;1987-01-01;138,000;78,680
Guadalajara;1988-01-01;116,000;78,970
Guadalajara;1989-01-01;129,000;79,630
Guadalajara;1990-01-01;178,000;79,100
Guadalajara;1991-01-01;127,000;79,900
Guadalajara;1992-01-01;155,000;79,800
Guadalajara;1993-01-01;158,000;79,620
Guadalajara;1994-01-01;166,000;79,550
Guadalajara;1995-01-01;158,000;80,770
Guadalajara;1996-01-01;167,000;80,230
Guadalajara;1997-01-01;161,000;81,460
Guadalajara;1998-01-01;209,000;81,240
Guadalajara;1999-01-01;213,000;81,250
Guadalajara;2000-01-01;178,000;81,720
Guadalajara;2001-01-01;210,000;81,090
Guadalajara;2002-01-01;181,000;81,590
Guadalajara;2003-01-01;203,000;82,350
Guadalajara;2004-01-01;212,000;81,690
Guadalajara;2005-01-01;261,000;82,250
Guadalajara;2006-01-01;221,000;83,120
Guadalajara;2007-01-01;232,000;82,390
Guadalajara;2008-01-01;248,000;83,220
Guadalajara;2009-01-01;205,000;83,740
Guadalajara;2010-01-01;189,000;83,760
Guadalajara;2011-01-01;183,000;83,610
Guadalajara;2012-01-01;253,000;83,770
Guadalajara;2013-01-01;226,000;84,530
Guadalajara;2014-01-01;221,000;84,360
Guadalajara;2015-01-01;268,000;83,660
Guadalajara;2016-01-01;266,000;83,890
Guadalajara;2017-01-01;271,000;84,060
Guadalajara;2018-01-01;249,000;84,210
Guadalajara;2019-01-01;217,000;84,730
Guadalajara;2020-01-01;279,000;82,290
Guadalajara;2021-01-01;186,000;83,860
Guadalajara;2022-01-01;240,000;83,720
Guadalajara;2023-01-01;285,000;84,710
Huelva;1975-01-01;;72,270
Huelva;1976-01-01;;72,430
Huelva;1977-01-01;;73,310
Huelva;1978-01-01;;72,730
Huelva;1979-01-01;;73,650
Huelva;1980-01-01;316,000;73,860
Huelva;1981-01-01;301,000;74,220
Huelva;1982-01-01;355,000;74,520
Huelva;1983-01-01;366,000;74,860
Huelva;1984-01-01;297,000;75,230
Huelva;1985-01-01;364,000;75,290
Huelva;1986-01-01;386,000;75,850
Huelva;1987-01-01;317,000;75,920
Huelva;1988-01-01;370,000;75,560
Huelva;1989-01-01;381,000;75,960
Huelva;1990-01-01;380,000;75,950
Huelva;1991-01-01;329,000;76,490
Huelva;1992-01-01;304,000;76,350
Huelva;1993-01-01;342,000;76,450
Huelva;1994-01-01;370,000;76,840
Huelva;1995-01-01;367,000;77,080
Huelva;1996-01-01;409,000;76,960
Huelva;1997-01-01;420,000;77,450
Huelva;1998-01-01;501,000;77,450
Huelva;1999-01-01;502,000;77,630
Huelva;2000-01-01;460,000;77,940
Huelva;2001-01-01;418,000;78,090
Huelva;2002-01-01;418,000;78,460
Huelva;2003-01-01;466,000;78,280
Huelva;2004-01-01;421,000;78,950
Huelva;2005-01-01;474,000;78,760
Huelva;2006-01-01;414,000;79,410
Huelva;2007-01-01;484,000;79,010
Huelva;2008-01-01;412,000;79,720
Huelva;2009-01-01;430,000;80,210
Huelva;2010-01-01;367,000;80,600
Huelva;2011-01-01;422,000;80,620
Huelva;2012-01-01;510,000;80,040
Huelva;2013-01-01;424,000;80,720
Huelva;2014-01-01;388,000;81,240
Huelva;2015-01-01;466,000;81,370
Huelva;2016-01-01;390,000;81,390
Huelva;2017-01-01;442,000;81,710
Huelva;2018-01-01;437,000;81,500
Huelva;2019-01-01;415,000;81,840
Huelva;2020-01-01;387,000;81,430
Huelva;2021-01-01;321,000;81,160
Huelva;2022-01-01;352,000;81,590
Huelva;2023-01-01;428,000;81,830
Huesca;1975-01-01;;74,840
Huesca;1976-01-01;;75,690
Huesca;1977-01-01;;76,230
Huesca;1978-01-01;;76,330
Huesca;1979-01-01;;76,550
Huesca;1980-01-01;133,000;76,750
Huesca;1981-01-01;166,000;77,600
Huesca;1982-01-01;160,000;78,420
Huesca;1983-01-01;233,000;76,870
Huesca;1984-01-01;207,000;77,150
Huesca;1985-01-01;177,000;77,330
Huesca;1986-01-01;207,000;77,330
Huesca;1987-01-01;173,000;76,310
Huesca;1988-01-01;184,000;77,980
Huesca;1989-01-01;190,000;78,450
Huesca;1990-01-01;233,000;78,620
Huesca;1991-01-01;247,000;79,220
Huesca;1992-01-01;194,000;80,420
Huesca;1993-01-01;210,000;80,120
Huesca;1994-01-01;256,000;79,220
Huesca;1995-01-01;272,000;79,070
Huesca;1996-01-01;307,000;78,860
Huesca;1997-01-01;262,000;79,670
Huesca;1998-01-01;271,000;79,820
Huesca;1999-01-01;326,000;79,310
Huesca;2000-01-01;268,000;80,600
Huesca;2001-01-01;217,000;80,230
Huesca;2002-01-01;252,000;80,390
Huesca;2003-01-01;262,000;80,800
Huesca;2004-01-01;252,000;81,030
Huesca;2005-01-01;290,000;81,220
Huesca;2006-01-01;215,000;81,580
Huesca;2007-01-01;248,000;82,370
Huesca;2008-01-01;227,000;82,540
Huesca;2009-01-01;262,000;82,130
Huesca;2010-01-01;219,000;82,190
Huesca;2011-01-01;257,000;82,740
Huesca;2012-01-01;268,000;82,760
Huesca;2013-01-01;212,000;83,430
Huesca;2014-01-01;247,000;83,250
Huesca;2015-01-01;259,000;82,780
Huesca;2016-01-01;234,000;83,000
Huesca;2017-01-01;301,000;83,200
Huesca;2018-01-01;281,000;83,350
Huesca;2019-01-01;216,000;84,140
Huesca;2020-01-01;248,000;82,920
Huesca;2021-01-01;156,000;83,690
Huesca;2022-01-01;194,000;82,940
Huesca;2023-01-01;173,000;84,410
Illes Balears;1975-01-01;;73,630
Illes Balears;1976-01-01;;73,670
Illes Balears;1977-01-01;;74,110
Illes Balears;1978-01-01;;74,620
Illes Balears;1979-01-01;;74,610
Illes Balears;1980-01-01;454,000;75,340
Illes Balears;1981-01-01;467,000;76,090
Illes Balears;1982-01-01;452,000;75,760
Illes Balears;1983-01-01;564,000;74,430
Illes Balears;1984-01-01;523,000;75,220
Illes Balears;1985-01-01;477,000;75,150
Illes Balears;1986-01-01;524,000;74,990
Illes Balears;1987-01-01;419,000;75,480
Illes Balears;1988-01-01;455,000;75,960
Illes Balears;1989-01-01;528,000;75,730
Illes Balears;1990-01-01;537,000;75,820
Illes Balears;1991-01-01;545,000;76,100
Illes Balears;1992-01-01;557,000;76,760
Illes Balears;1993-01-01;638,000;76,970
Illes Balears;1994-01-01;579,000;77,630
Illes Balears;1995-01-01;663,000;77,320
Illes Balears;1996-01-01;693,000;77,660
Illes Balears;1997-01-01;751,000;78,280
Illes Balears;1998-01-01;716,000;78,460
Illes Balears;1999-01-01;837,000;78,130
Illes Balears;2000-01-01;788,000;78,420
Illes Balears;2001-01-01;694,000;79,140
Illes Balears;2002-01-01;737,000;79,470
Illes Balears;2003-01-01;742,000;79,780
Illes Balears;2004-01-01;641,000;80,270
Illes Balears;2005-01-01;784,000;80,330
Illes Balears;2006-01-01;608,000;80,850
Illes Balears;2007-01-01;727,000;81,260
Illes Balears;2008-01-01;696,000;81,190
Illes Balears;2009-01-01;683,000;81,150
Illes Balears;2010-01-01;627,000;81,560
Illes Balears;2011-01-01;747,000;81,930
Illes Balears;2012-01-01;893,000;81,850
Illes Balears;2013-01-01;755,000;82,560
Illes Balears;2014-01-01;778,000;82,600
Illes Balears;2015-01-01;927,000;82,280
Illes Balears;2016-01-01;792,000;82,860
Illes Balears;2017-01-01;841,000;82,680
Illes Balears;2018-01-01;869,000;82,970
Illes Balears;2019-01-01;745,000;83,400
Illes Balears;2020-01-01;734,000;83,110
Illes Balears;2021-01-01;616,000;83,000
Illes Balears;2022-01-01;782,000;82,900
Illes Balears;2023-01-01;774,000;83,710
Jaen;1975-01-01;;74,040
Jaen;1976-01-01;;73,540
Jaen;1977-01-01;;74,590
Jaen;1978-01-01;;74,640
Jaen;1979-01-01;;75,000
Jaen;1980-01-01;587,000;75,640
Jaen;1981-01-01;662,000;75,720
Jaen;1982-01-01;600,000;76,050
Jaen;1983-01-01;716,000;75,850
Jaen;1984-01-01;655,000;76,070
Jaen;1985-01-01;683,000;76,170
Jaen;1986-01-01;673,000;75,930
Jaen;1987-01-01;689,000;76,400
Jaen;1988-01-01;685,000;76,290
Jaen;1989-01-01;587,000;76,710
Jaen;1990-01-01;829,000;76,640
Jaen;1991-01-01;695,000;77,270
Jaen;1992-01-01;604,000;77,860
Jaen;1993-01-01;732,000;77,550
Jaen;1994-01-01;680,000;77,830
Jaen;1995-01-01;758,000;78,130
Jaen;1996-01-01;688,000;78,290
Jaen;1997-01-01;705,000;78,380
Jaen;1998-01-01;820,000;78,040
Jaen;1999-01-01;824,000;78,390
Jaen;2000-01-01;709,000;78,610
Jaen;2001-01-01;637,000;79,110
Jaen;2002-01-01;724,000;79,240
Jaen;2003-01-01;786,000;79,020
Jaen;2004-01-01;693,000;79,360
Jaen;2005-01-01;882,000;79,470
Jaen;2006-01-01;635,000;80,340
Jaen;2007-01-01;785,000;79,800
Jaen;2008-01-01;734,000;80,280
Jaen;2009-01-01;772,000;80,330
Jaen;2010-01-01;748,000;81,320
Jaen;2011-01-01;800,000;80,970
Jaen;2012-01-01;822,000;81,350
Jaen;2013-01-01;740,000;81,730
Jaen;2014-01-01;738,000;81,940
Jaen;2015-01-01;914,000;81,570
Jaen;2016-01-01;798,000;81,960
Jaen;2017-01-01;879,000;82,090
Jaen;2018-01-01;954,000;81,920
Jaen;2019-01-01;829,000;82,280
Jaen;2020-01-01;671,000;81,350
Jaen;2021-01-01;608,000;81,800
Jaen;2022-01-01;690,000;81,720
Jaen;2023-01-01;810,000;82,680
La Rioja;1975-01-01;;73,110
La Rioja;1976-01-01;;73,880
La Rioja;1977-01-01;;74,100
La Rioja;1978-01-01;;74,610
La Rioja;1979-01-01;;74,710
La Rioja;1980-01-01;249,000;74,980
La Rioja;1981-01-01;275,000;74,970
La Rioja;1982-01-01;218,000;76,220
La Rioja;1983-01-01;214,000;76,140
La Rioja;1984-01-01;216,000;76,950
La Rioja;1985-01-01;276,000;75,950
La Rioja;1986-01-01;206,000;76,810
La Rioja;1987-01-01;199,000;76,370
La Rioja;1988-01-01;197,000;77,110
La Rioja;1989-01-01;226,000;77,180
La Rioja;1990-01-01;282,000;76,680
La Rioja;1991-01-01;259,000;77,760
La Rioja;1992-01-01;234,000;77,940
La Rioja;1993-01-01;246,000;78,470
La Rioja;1994-01-01;216,000;79,010
La Rioja;1995-01-01;227,000;79,100
La Rioja;1996-01-01;249,000;79,160
La Rioja;1997-01-01;253,000;79,850
La Rioja;1998-01-01;251,000;79,660
La Rioja;1999-01-01;353,000;79,450
La Rioja;2000-01-01;293,000;80,430
La Rioja;2001-01-01;268,000;80,550
La Rioja;2002-01-01;305,000;80,480
La Rioja;2003-01-01;304,000;80,600
La Rioja;2004-01-01;258,000;81,350
La Rioja;2005-01-01;341,000;80,970
La Rioja;2006-01-01;272,000;81,880
La Rioja;2007-01-01;275,000;81,490
La Rioja;2008-01-01;324,000;81,930
La Rioja;2009-01-01;278,000;82,520
La Rioja;2010-01-01;231,000;82,950
La Rioja;2011-01-01;255,000;82,850
La Rioja;2012-01-01;282,000;82,660
La Rioja;2013-01-01;261,000;83,610
La Rioja;2014-01-01;278,000;83,780
La Rioja;2015-01-01;286,000;83,370
La Rioja;2016-01-01;285,000;83,800
La Rioja;2017-01-01;329,000;83,610
La Rioja;2018-01-01;365,000;83,630
La Rioja;2019-01-01;312,000;83,830
La Rioja;2020-01-01;262,000;82,500
La Rioja;2021-01-01;284,000;83,270
La Rioja;2022-01-01;320,000;83,200
La Rioja;2023-01-01;283,000;84,170
Las Palmas;1975-01-01;;72,630
Las Palmas;1976-01-01;;71,830
Las Palmas;1977-01-01;;72,910
Las Palmas;1978-01-01;;72,400
Las Palmas;1979-01-01;;72,610
Las Palmas;1980-01-01;279,000;73,710
Las Palmas;1981-01-01;266,000;74,190
Las Palmas;1982-01-01;298,000;74,130
Las Palmas;1983-01-01;341,000;74,230
Las Palmas;1984-01-01;285,000;74,950
Las Palmas;1985-01-01;371,000;74,460
Las Palmas;1986-01-01;290,000;75,360
Las Palmas;1987-01-01;388,000;74,900
Las Palmas;1988-01-01;419,000;74,570
Las Palmas;1989-01-01;472,000;74,710
Las Palmas;1990-01-01;503,000;75,310
Las Palmas;1991-01-01;399,000;75,430
Las Palmas;1992-01-01;448,000;76,200
Las Palmas;1993-01-01;477,000;75,790
Las Palmas;1994-01-01;369,000;76,610
Las Palmas;1995-01-01;411,000;77,060
Las Palmas;1996-01-01;461,000;76,950
Las Palmas;1997-01-01;458,000;77,240
Las Palmas;1998-01-01;573,000;77,080
Las Palmas;1999-01-01;661,000;76,700
Las Palmas;2000-01-01;568,000;77,000
Las Palmas;2001-01-01;557,000;77,570
Las Palmas;2002-01-01;564,000;77,870
Las Palmas;2003-01-01;481,000;78,210
Las Palmas;2004-01-01;493,000;78,620
Las Palmas;2005-01-01;593,000;78,820
Las Palmas;2006-01-01;598,000;79,450
Las Palmas;2007-01-01;552,000;79,900
Las Palmas;2008-01-01;632,000;79,340
Las Palmas;2009-01-01;543,000;80,850
Las Palmas;2010-01-01;497,000;81,280
Las Palmas;2011-01-01;554,000;81,260
Las Palmas;2012-01-01;657,000;81,250
Las Palmas;2013-01-01;712,000;81,690
Las Palmas;2014-01-01;738,000;81,740
Las Palmas;2015-01-01;874,000;81,620
Las Palmas;2016-01-01;860,000;81,850
Las Palmas;2017-01-01;878,000;81,990
Las Palmas;2018-01-01;990,000;81,690
Las Palmas;2019-01-01;1070,000;82,270
Las Palmas;2020-01-01;928,000;81,900
Las Palmas;2021-01-01;927,000;81,920
Las Palmas;2022-01-01;1056,000;81,560
Las Palmas;2023-01-01;1088,000;82,080
Leon;1975-01-01;;73,310
Leon;1976-01-01;;73,350
Leon;1977-01-01;;73,430
Leon;1978-01-01;;73,880
Leon;1979-01-01;;73,980
Leon;1980-01-01;469,000;74,920
Leon;1981-01-01;556,000;74,500
Leon;1982-01-01;480,000;75,440
Leon;1983-01-01;550,000;75,330
Leon;1984-01-01;518,000;75,990
Leon;1985-01-01;558,000;76,110
Leon;1986-01-01;528,000;76,200
Leon;1987-01-01;491,000;76,370
Leon;1988-01-01;491,000;77,130
Leon;1989-01-01;518,000;77,490
Leon;1990-01-01;590,000;77,340
Leon;1991-01-01;549,000;78,210
Leon;1992-01-01;520,000;78,710
Leon;1993-01-01;532,000;78,830
Leon;1994-01-01;520,000;79,090
Leon;1995-01-01;488,000;79,510
Leon;1996-01-01;585,000;79,450
Leon;1997-01-01;588,000;79,720
Leon;1998-01-01;622,000;79,880
Leon;1999-01-01;689,000;80,220
Leon;2000-01-01;700,000;80,340
Leon;2001-01-01;592,000;80,450
Leon;2002-01-01;703,000;80,840
Leon;2003-01-01;697,000;80,820
Leon;2004-01-01;691,000;80,940
Leon;2005-01-01;825,000;81,040
Leon;2006-01-01;651,000;81,560
Leon;2007-01-01;741,000;81,180
Leon;2008-01-01;689,000;81,780
Leon;2009-01-01;712,000;82,570
Leon;2010-01-01;668,000;82,580
Leon;2011-01-01;652,000;82,970
Leon;2012-01-01;801,000;82,910
Leon;2013-01-01;692,000;82,730
Leon;2014-01-01;709,000;83,120
Leon;2015-01-01;808,000;83,260
Leon;2016-01-01;786,000;83,480
Leon;2017-01-01;799,000;83,690
Leon;2018-01-01;890,000;83,560
Leon;2019-01-01;760,000;83,620
Leon;2020-01-01;634,000;82,480
Leon;2021-01-01;431,000;83,490
Leon;2022-01-01;557,000;83,290
Leon;2023-01-01;694,000;84,200
Lleida;1975-01-01;;73,130
Lleida;1976-01-01;;74,240
Lleida;1977-01-01;;74,340
Lleida;1978-01-01;;74,520
Lleida;1979-01-01;;74,830
Lleida;1980-01-01;250,000;75,580
Lleida;1981-01-01;247,000;76,510
Lleida;1982-01-01;245,000;76,490
Lleida;1983-01-01;226,000;76,200
Lleida;1984-01-01;205,000;76,530
Lleida;1985-01-01;265,000;76,350
Lleida;1986-01-01;284,000;76,810
Lleida;1987-01-01;233,000;76,790
Lleida;1988-01-01;244,000;77,120
Lleida;1989-01-01;306,000;77,030
Lleida;1990-01-01;288,000;77,160
Lleida;1991-01-01;278,000;77,300
Lleida;1992-01-01;297,000;77,410
Lleida;1993-01-01;333,000;77,860
Lleida;1994-01-01;374,000;78,230
Lleida;1995-01-01;416,000;78,070
Lleida;1996-01-01;402,000;78,760
Lleida;1997-01-01;469,000;78,810
Lleida;1998-01-01;499,000;78,710
Lleida;1999-01-01;546,000;79,250
Lleida;2000-01-01;432,000;79,660
Lleida;2001-01-01;428,000;80,160
Lleida;2002-01-01;473,000;79,550
Lleida;2003-01-01;557,000;79,720
Lleida;2004-01-01;420,000;80,050
Lleida;2005-01-01;559,000;80,150
Lleida;2006-01-01;416,000;80,880
Lleida;2007-01-01;447,000;80,880
Lleida;2008-01-01;459,000;81,630
Lleida;2009-01-01;471,000;81,760
Lleida;2010-01-01;453,000;81,800
Lleida;2011-01-01;523,000;82,080
Lleida;2012-01-01;523,000;82,440
Lleida;2013-01-01;533,000;82,610
Lleida;2014-01-01;520,000;82,920
Lleida;2015-01-01;587,000;82,790
Lleida;2016-01-01;476,000;83,440
Lleida;2017-01-01;600,000;83,120
Lleida;2018-01-01;597,000;83,140
Lleida;2019-01-01;509,000;83,530
Lleida;2020-01-01;416,000;82,280
Lleida;2021-01-01;370,000;82,760
Lleida;2022-01-01;456,000;83,010
Lleida;2023-01-01;549,000;83,650
Lugo;1975-01-01;;72,500
Lugo;1976-01-01;;72,630
Lugo;1977-01-01;;73,300
Lugo;1978-01-01;;73,940
Lugo;1979-01-01;;74,250
Lugo;1980-01-01;537,000;75,280
Lugo;1981-01-01;541,000;75,220
Lugo;1982-01-01;494,000;75,340
Lugo;1983-01-01;553,000;75,370
Lugo;1984-01-01;525,000;76,170
Lugo;1985-01-01;565,000;75,760
Lugo;1986-01-01;549,000;76,130
Lugo;1987-01-01;483,000;76,810
Lugo;1988-01-01;526,000;76,690
Lugo;1989-01-01;520,000;76,580
Lugo;1990-01-01;614,000;76,170
Lugo;1991-01-01;582,000;76,030
Lugo;1992-01-01;565,000;76,980
Lugo;1993-01-01;509,000;78,050
Lugo;1994-01-01;556,000;78,200
Lugo;1995-01-01;645,000;77,790
Lugo;1996-01-01;662,000;77,670
Lugo;1997-01-01;610,000;78,500
Lugo;1998-01-01;621,000;78,600
Lugo;1999-01-01;750,000;78,990
Lugo;2000-01-01;700,000;79,210
Lugo;2001-01-01;600,000;79,590
Lugo;2002-01-01;676,000;79,520
Lugo;2003-01-01;679,000;79,580
Lugo;2004-01-01;588,000;80,730
Lugo;2005-01-01;591,000;80,740
Lugo;2006-01-01;562,000;80,810
Lugo;2007-01-01;562,000;81,160
Lugo;2008-01-01;575,000;81,520
Lugo;2009-01-01;530,000;81,250
Lugo;2010-01-01;486,000;82,060
Lugo;2011-01-01;477,000;82,290
Lugo;2012-01-01;572,000;81,920
Lugo;2013-01-01;546,000;82,660
Lugo;2014-01-01;512,000;82,660
Lugo;2015-01-01;635,000;82,390
Lugo;2016-01-01;530,000;82,580
Lugo;2017-01-01;616,000;83,000
Lugo;2018-01-01;641,000;82,910
Lugo;2019-01-01;498,000;83,710
Lugo;2020-01-01;492,000;83,100
Lugo;2021-01-01;425,000;83,380
Lugo;2022-01-01;572,000;83,230
Lugo;2023-01-01;570,000;83,380
Madrid;1975-01-01;;74,460
Madrid;1976-01-01;;74,600
Madrid;1977-01-01;;74,980
Madrid;1978-01-01;;75,260
Madrid;1979-01-01;;75,710
Madrid;1980-01-01;2591,000;76,090
Madrid;1981-01-01;2721,000;75,650
Madrid;1982-01-01;2455,000;76,610
Madrid;1983-01-01;2710,000;76,210
Madrid;1984-01-01;2628,000;76,740
Madrid;1985-01-01;2968,000;76,770
Madrid;1986-01-01;2510,000;77,480
Madrid;1987-01-01;2807,000;77,320
Madrid;1988-01-01;2992,000;77,250
Madrid;1989-01-01;3165,000;77,430
Madrid;1990-01-01;3605,000;77,240
Madrid;1991-01-01;3858,000;77,580
Madrid;1992-01-01;3519,000;78,100
Madrid;1993-01-01;3805,000;78,320
Madrid;1994-01-01;3547,000;78,750
Madrid;1995-01-01;3941,000;78,810
Madrid;1996-01-01;4128,000;79,180
Madrid;1997-01-01;4050,000;79,970
Madrid;1998-01-01;4625,000;79,930
Madrid;1999-01-01;5056,000;80,190
Madrid;2000-01-01;4662,000;80,360
Madrid;2001-01-01;4805,000;80,580
Madrid;2002-01-01;5181,000;80,810
Madrid;2003-01-01;5907,000;80,630
Madrid;2004-01-01;5297,000;81,240
Madrid;2005-01-01;6235,000;81,500
Madrid;2006-01-01;5596,000;82,060
Madrid;2007-01-01;6292,000;82,080
Madrid;2008-01-01;6654,000;82,580
Madrid;2009-01-01;6111,000;82,930
Madrid;2010-01-01;5512,000;83,390
Madrid;2011-01-01;5906,000;83,630
Madrid;2012-01-01;6429,000;83,640
Madrid;2013-01-01;6035,000;84,130
Madrid;2014-01-01;6274,000;84,200
Madrid;2015-01-01;7340,000;83,970
Madrid;2016-01-01;6530,000;84,500
Madrid;2017-01-01;7008,000;84,480
Madrid;2018-01-01;6916,000;84,730
Madrid;2019-01-01;6670,000;84,930
Madrid;2020-01-01;6283,000;82,270
Madrid;2021-01-01;5232,000;84,560
Madrid;2022-01-01;6137,000;84,760
Madrid;2023-01-01;6864,000;85,390
Malaga;1975-01-01;;71,900
Malaga;1976-01-01;;72,270
Malaga;1977-01-01;;73,230
Malaga;1978-01-01;;72,950
Malaga;1979-01-01;;73,320
Malaga;1980-01-01;747,000;74,150
Malaga;1981-01-01;729,000;74,280
Malaga;1982-01-01;705,000;74,440
Malaga;1983-01-01;785,000;74,750
Malaga;1984-01-01;849,000;74,900
Malaga;1985-01-01;1031,000;74,730
Malaga;1986-01-01;917,000;74,960
Malaga;1987-01-01;986,000;74,910
Malaga;1988-01-01;920,000;75,180
Malaga;1989-01-01;991,000;75,370
Malaga;1990-01-01;1042,000;75,550
Malaga;1991-01-01;1018,000;75,690
Malaga;1992-01-01;902,000;76,230
Malaga;1993-01-01;959,000;76,350
Malaga;1994-01-01;962,000;76,490
Malaga;1995-01-01;1062,000;76,880
Malaga;1996-01-01;1070,000;76,780
Malaga;1997-01-01;1104,000;77,330
Malaga;1998-01-01;1145,000;77,610
Malaga;1999-01-01;1126,000;77,640
Malaga;2000-01-01;1001,000;78,000
Malaga;2001-01-01;1000,000;78,260
Malaga;2002-01-01;1074,000;78,520
Malaga;2003-01-01;1224,000;78,260
Malaga;2004-01-01;1072,000;78,980
Malaga;2005-01-01;1353,000;78,860
Malaga;2006-01-01;1129,000;79,520
Malaga;2007-01-01;1191,000;79,660
Malaga;2008-01-01;1212,000;79,890
Malaga;2009-01-01;1278,000;80,500
Malaga;2010-01-01;1099,000;80,860
Malaga;2011-01-01;1215,000;81,210
Malaga;2012-01-01;1336,000;81,260
Malaga;2013-01-01;1154,000;81,710
Malaga;2014-01-01;1227,000;81,640
Malaga;2015-01-01;1524,000;81,650
Malaga;2016-01-01;1304,000;82,100
Malaga;2017-01-01;1348,000;82,220
Malaga;2018-01-01;1423,000;81,960
Malaga;2019-01-01;1237,000;82,540
Malaga;2020-01-01;1108,000;81,970
Malaga;2021-01-01;1000,000;81,820
Malaga;2022-01-01;1241,000;82,150
Malaga;2023-01-01;1363,000;82,900
Melilla;1975-01-01;;73,380
Melilla;1976-01-01;;73,080
Melilla;1977-01-01;;73,330
Melilla;1978-01-01;;71,930
Melilla;1979-01-01;;72,630
Melilla;1980-01-01;46,000;73,900
Melilla;1981-01-01;37,000;74,540
Melilla;1982-01-01;47,000;74,550
Melilla;1983-01-01;38,000;74,710
Melilla;1984-01-01;42,000;74,530
Melilla;1985-01-01;42,000;74,690
Melilla;1986-01-01;29,000;74,620
Melilla;1987-01-01;39,000;75,540
Melilla;1988-01-01;46,000;73,680
Melilla;1989-01-01;31,000;74,940
Melilla;1990-01-01;32,000;74,570
Melilla;1991-01-01;35,000;76,120
Melilla;1992-01-01;34,000;78,140
Melilla;1993-01-01;25,000;76,240
Melilla;1994-01-01;26,000;75,200
Melilla;1995-01-01;37,000;76,250
Melilla;1996-01-01;36,000;77,220
Melilla;1997-01-01;29,000;76,160
Melilla;1998-01-01;31,000;75,270
Melilla;1999-01-01;20,000;77,140
Melilla;2000-01-01;34,000;76,870
Melilla;2001-01-01;27,000;77,400
Melilla;2002-01-01;40,000;77,310
Melilla;2003-01-01;39,000;77,180
Melilla;2004-01-01;33,000;77,660
Melilla;2005-01-01;49,000;78,530
Melilla;2006-01-01;39,000;78,210
Melilla;2007-01-01;34,000;78,780
Melilla;2008-01-01;46,000;78,410
Melilla;2009-01-01;37,000;80,560
Melilla;2010-01-01;44,000;81,130
Melilla;2011-01-01;52,000;79,930
Melilla;2012-01-01;62,000;80,290
Melilla;2013-01-01;35,000;80,330
Melilla;2014-01-01;47,000;80,030
Melilla;2015-01-01;54,000;79,880
Melilla;2016-01-01;51,000;80,430
Melilla;2017-01-01;60,000;80,210
Melilla;2018-01-01;58,000;80,180
Melilla;2019-01-01;54,000;80,670
Melilla;2020-01-01;57,000;78,820
Melilla;2021-01-01;57,000;79,720
Melilla;2022-01-01;51,000;81,550
Melilla;2023-01-01;51,000;81,610
Murcia;1975-01-01;;72,950
Murcia;1976-01-01;;73,390
Murcia;1977-01-01;;73,920
Murcia;1978-01-01;;74,060
Murcia;1979-01-01;;74,490
Murcia;1980-01-01;794,000;74,300
Murcia;1981-01-01;855,000;74,900
Murcia;1982-01-01;807,000;75,450
Murcia;1983-01-01;877,000;75,160
Murcia;1984-01-01;786,000;75,640
Murcia;1985-01-01;826,000;75,700
Murcia;1986-01-01;839,000;76,160
Murcia;1987-01-01;831,000;76,670
Murcia;1988-01-01;837,000;76,510
Murcia;1989-01-01;882,000;75,950
Murcia;1990-01-01;930,000;76,090
Murcia;1991-01-01;803,000;76,490
Murcia;1992-01-01;845,000;77,070
Murcia;1993-01-01;924,000;77,460
Murcia;1994-01-01;856,000;77,610
Murcia;1995-01-01;806,000;78,040
Murcia;1996-01-01;864,000;78,050
Murcia;1997-01-01;941,000;78,060
Murcia;1998-01-01;1016,000;78,220
Murcia;1999-01-01;1273,000;77,900
Murcia;2000-01-01;1077,000;78,420
Murcia;2001-01-01;998,000;78,950
Murcia;2002-01-01;1125,000;78,960
Murcia;2003-01-01;1183,000;79,110
Murcia;2004-01-01;1118,000;79,540
Murcia;2005-01-01;1305,000;79,710
Murcia;2006-01-01;1084,000;80,270
Murcia;2007-01-01;1254,000;80,300
Murcia;2008-01-01;1274,000;80,430
Murcia;2009-01-01;1246,000;80,900
Murcia;2010-01-01;1135,000;81,620
Murcia;2011-01-01;1225,000;81,710
Murcia;2012-01-01;1441,000;81,720
Murcia;2013-01-01;1252,000;82,270
Murcia;2014-01-01;1265,000;82,470
Murcia;2015-01-01;1553,000;82,210
Murcia;2016-01-01;1372,000;82,510
Murcia;2017-01-01;1527,000;82,400
Murcia;2018-01-01;1562,000;82,640
Murcia;2019-01-01;1344,000;82,620
Murcia;2020-01-01;1069,000;82,260
Murcia;2021-01-01;988,000;82,210
Murcia;2022-01-01;1118,000;82,050
Murcia;2023-01-01;1176,000;82,820
Navarra;1975-01-01;;72,970
Navarra;1976-01-01;;73,740
Navarra;1977-01-01;;74,440
Navarra;1978-01-01;;74,240
Navarra;1979-01-01;;75,080
Navarra;1980-01-01;457,000;75,070
Navarra;1981-01-01;412,000;75,740
Navarra;1982-01-01;409,000;75,720
Navarra;1983-01-01;428,000;75,980
Navarra;1984-01-01;370,000;76,730
