Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency,Province
Spain,NET_ES131A,Ayto Madrid,ES0125A,VILLAVERDE,SP_28079017_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1992,76.231,ug/m3,97.8,,Background,urban,-3.705,40.3469,593.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0114A,,SPO-ES0114A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1992,55.838,ug/m3,95.62,,Traffic,urban,-3.6919,40.4097,629.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES131A,Ayto Madrid,ES0115A,PLAZA DE ESPAÑA,SP_28079004_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1993,63.17,ug/m3,98.16,,Traffic,urban,-3.7122,40.4242,637.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0141A,,SPO-ES0141A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1993,75.436,ug/m3,99.08,,Traffic,urban,-3.7042,40.4472,704.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0114A,,SPO-ES0114A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1993,59.709,ug/m3,98.45,,Traffic,urban,-3.6919,40.4097,629.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0123A,,SPO-ES0123A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1993,60.911,ug/m3,77.03,,Traffic,urban,-3.6886,40.4683,729.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES131A,Ayto Madrid,ES0124A,ARTURO SORIA,SP_28079016_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1993,57.333,ug/m3,96.55,,Background,urban,-3.6392,40.44,698.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES131A,Ayto Madrid,ES0125A,VILLAVERDE,SP_28079017_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1993,73.061,ug/m3,99.59,,Background,urban,-3.705,40.3469,593.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES209A,CCAA Cataluña,ES0584A,Montcada i Reixac (pl. de Lluís Companys),SP_08125002_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1993,49.838,ug/m3,79.28,,Industrial,suburban,2.1883,41.482,34.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Barcelona
Spain,,,ES0596A,,SPO-ES0596A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1993,57.444,ug/m3,87.42,,Traffic,urban,2.1483,41.4019,75.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Barcelona
Spain,,,ES0123A,,SPO-ES0123A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1995,59.918,ug/m3,99.65,,Traffic,urban,-3.6886,40.4683,729.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0141A,,SPO-ES0141A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1995,71.632,ug/m3,99.3,,Traffic,urban,-3.7042,40.4472,704.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES131A,Ayto Madrid,ES0115A,PLAZA DE ESPAÑA,SP_28079004_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1995,56.485,ug/m3,98.79,,Traffic,urban,-3.7122,40.4242,637.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES131A,Ayto Madrid,ES0125A,VILLAVERDE,SP_28079017_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1995,65.894,ug/m3,98.77,,Background,urban,-3.705,40.3469,593.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0114A,,SPO-ES0114A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1995,65.352,ug/m3,98.98,,Traffic,urban,-3.6919,40.4097,629.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES131A,Ayto Madrid,ES0124A,ARTURO SORIA,SP_28079016_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1995,54.172,ug/m3,96.77,,Background,urban,-3.6392,40.44,698.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,,,ES0123A,,SPO-ES0123A_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1996,55.86,ug/m3,99.61,,Traffic,urban,-3.6886,40.4683,729.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
Spain,NET_ES131A,Ayto Madrid,ES0125A,VILLAVERDE,SP_28079017_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1996,69.734,ug/m3,99.72,,Background,urban,-3.705,40.3469,593.0,Madrid                                                                          ,ES001K1                                           ,5098717.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,Madrid
