Province;Year;Population
Sevilla;2019-01-01;1942389
Sevilla;2018-01-01;1939887
Sevilla;2017-01-01;1939527
Sevilla;2016-01-01;1939775
Sevilla;2015-01-01;1941480
Sevilla;2014-01-01;1941355
Sevilla;2013-01-01;1942155
Sevilla;2012-01-01;1938974
Sevilla;2011-01-01;1928962
Sevilla;2010-01-01;1917097
Sevilla;2009-01-01;1900224
Sevilla;2008-01-01;1875462
Sevilla;2007-01-01;1849268
Sevilla;2006-01-01;1835077
Sevilla;2005-01-01;1813908
Sevilla;2004-01-01;1792420
Sevilla;2003-01-01;1782862
Sevilla;2002-01-01;1758720
Sevilla;2001-01-01;1747441
Sevilla;2000-01-01;1734917
Soria;2021-01-01;88747
Soria;2020-01-01;88884
Soria;2019-01-01;88636
Soria;2018-01-01;88600
Soria;2017-01-01;88903
Soria;2016-01-01;90040
Soria;2015-01-01;91006
Soria;2014-01-01;92221
Soria;2013-01-01;93291
Soria;2012-01-01;94522
Soria;2011-01-01;95223
Soria;2010-01-01;95258
Soria;2009-01-01;95101
Soria;2008-01-01;94646
Soria;2007-01-01;93593
Soria;2006-01-01;93503
Soria;2005-01-01;92773
Soria;2004-01-01;91652
Soria;2003-01-01;90954
Soria;2002-01-01;91487
Soria;2001-01-01;91314
Soria;2000-01-01;90911
Tarragona;2021-01-01;822309
Tarragona;2020-01-01;816772
Tarragona;2019-01-01;804664
Tarragona;2018-01-01;795902
Tarragona;2017-01-01;791693
Tarragona;2016-01-01;792299
Tarragona;2015-01-01;795101
Tarragona;2014-01-01;800962
Tarragona;2013-01-01;810178
Tarragona;2012-01-01;814199
Tarragona;2011-01-01;811401
Tarragona;2010-01-01;808420
Tarragona;2009-01-01;803301
Tarragona;2008-01-01;788895
Tarragona;2007-01-01;757795
Tarragona;2006-01-01;730466
Tarragona;2005-01-01;704907
Tarragona;2004-01-01;674144
Tarragona;2003-01-01;654149
Tarragona;2002-01-01;631156
Tarragona;2001-01-01;612086
Tarragona;2000-01-01;598533
Teruel;2021-01-01;134545
Teruel;2020-01-01;134176
Teruel;2019-01-01;134137
Teruel;2018-01-01;134572
Teruel;2017-01-01;135562
Teruel;2016-01-01;136977
Teruel;2015-01-01;138932
Teruel;2014-01-01;140365
Teruel;2013-01-01;142183
Teruel;2012-01-01;143728
Teruel;2011-01-01;144607
Teruel;2010-01-01;145277
Teruel;2009-01-01;146751
Teruel;2008-01-01;146324
Teruel;2007-01-01;144046
Teruel;2006-01-01;142160
Teruel;2005-01-01;141091
Teruel;2004-01-01;139333
Teruel;2003-01-01;138686
Teruel;2002-01-01;137342
Teruel;2001-01-01;136233
Teruel;2000-01-01;136473
Toledo;2021-01-01;709403
Toledo;2020-01-01;703772
Toledo;2019-01-01;694844
Toledo;2018-01-01;687391
Toledo;2017-01-01;686841
Toledo;2016-01-01;688672
Toledo;2015-01-01;693371
Toledo;2014-01-01;699136
Toledo;2013-01-01;706407
Toledo;2012-01-01;711228
Toledo;2011-01-01;707242
Toledo;2010-01-01;697959
Toledo;2009-01-01;689635
Toledo;2008-01-01;670203
Toledo;2007-01-01;639621
Toledo;2006-01-01;615618
Toledo;2005-01-01;598256
Toledo;2004-01-01;578060
Toledo;2003-01-01;563099
Toledo;2002-01-01;546538
Toledo;2001-01-01;536131
Toledo;2000-01-01;527965
Valencia;2021-01-01;2589312
Valencia;2020-01-01;2591875
Valencia;2019-01-01;2565124
Valencia;2018-01-01;2547986
Valencia;2017-01-01;2540707
Valencia;2016-01-01;2544264
Valencia;2015-01-01;2543315
Valencia;2014-01-01;2548898
Valencia;2013-01-01;2566474
Valencia;2012-01-01;2580792
Valencia;2011-01-01;2578719
Valencia;2010-01-01;2581147
Valencia;2009-01-01;2575362
Valencia;2008-01-01;2543209
Valencia;2007-01-01;2486483
Valencia;2006-01-01;2463592
Valencia;2005-01-01;2416628
Valencia;2004-01-01;2358919
Valencia;2003-01-01;2320297
Valencia;2002-01-01;2267503
Valencia;2001-01-01;2227170
Valencia;2000-01-01;2201200
Valladolid;2021-01-01;519361
Valladolid;2020-01-01;520649
Valladolid;2019-01-01;519546
Valladolid;2018-01-01;519851
Valladolid;2017-01-01;521130
Valladolid;2016-01-01;523679
Valladolid;2015-01-01;526288
Valladolid;2014-01-01;529157
Valladolid;2013-01-01;532284
Valladolid;2012-01-01;534280
Valladolid;2011-01-01;534874
Valladolid;2010-01-01;533640
Valladolid;2009-01-01;532575
Valladolid;2008-01-01;529019
Valladolid;2007-01-01;521661
Valladolid;2006-01-01;519249
Valladolid;2005-01-01;514674
Valladolid;2004-01-01;510863
Valladolid;2003-01-01;506302
Valladolid;2002-01-01;501157
Valladolid;2001-01-01;497961
Valladolid;2000-01-01;495690
Zamora;2021-01-01;168725
Zamora;2020-01-01;170588
Zamora;2019-01-01;172539
Zamora;2018-01-01;174549
Zamora;2017-01-01;177404
Zamora;2016-01-01;180406
Zamora;2015-01-01;183436
Zamora;2014-01-01;185432
Zamora;2013-01-01;188270
Zamora;2012-01-01;191612
Zamora;2011-01-01;193383
Zamora;2010-01-01;194214
Zamora;2009-01-01;195665
Zamora;2008-01-01;197221
Zamora;2007-01-01;197237
Zamora;2006-01-01;197492
Zamora;2005-01-01;198045
Zamora;2004-01-01;198524
Zamora;2003-01-01;199688
Zamora;2002-01-01;200678
Zamora;2001-01-01;202356
Zamora;2000-01-01;203469
Zaragoza;2021-01-01;967452
Zaragoza;2020-01-01;972528
Zaragoza;2019-01-01;964693
Zaragoza;2018-01-01;954811
Zaragoza;2017-01-01;953486
Zaragoza;2016-01-01;950507
Zaragoza;2015-01-01;956006
Zaragoza;2014-01-01;960111
Zaragoza;2013-01-01;978638
Zaragoza;2012-01-01;978130
Zaragoza;2011-01-01;973325
Zaragoza;2010-01-01;973252
Zaragoza;2009-01-01;970313
Zaragoza;2008-01-01;955323
Zaragoza;2007-01-01;932502
Zaragoza;2006-01-01;917288
Zaragoza;2005-01-01;912072
Zaragoza;2004-01-01;897350
Zaragoza;2003-01-01;880118
Zaragoza;2002-01-01;871209
Zaragoza;2001-01-01;857565
Zaragoza;2000-01-01;848006
Ceuta;2021-01-01;83517
Ceuta;2020-01-01;84202
Ceuta;2019-01-01;84777
Ceuta;2018-01-01;85144
Ceuta;2017-01-01;84959
Ceuta;2016-01-01;84519
Ceuta;2015-01-01;84263
Ceuta;2014-01-01;84963
Ceuta;2013-01-01;84180
Ceuta;2012-01-01;84018
Ceuta;2011-01-01;82376
Ceuta;2010-01-01;80579
Ceuta;2009-01-01;78674
Ceuta;2008-01-01;77389
Ceuta;2007-01-01;76603
Ceuta;2006-01-01;75861
Ceuta;2005-01-01;75276
Ceuta;2004-01-01;74654
Ceuta;2003-01-01;74931
Ceuta;2002-01-01;76152
Ceuta;2001-01-01;75694
Ceuta;2000-01-01;75241
Melilla;2021-01-01;86261
Melilla;2020-01-01;87076
Melilla;2019-01-01;86487
Melilla;2018-01-01;86384
Melilla;2017-01-01;86120
Melilla;2016-01-01;86026
Melilla;2015-01-01;85584
Melilla;2014-01-01;84509
Melilla;2013-01-01;83679
Melilla;2012-01-01;80802
Melilla;2011-01-01;78476
Melilla;2010-01-01;76034
Melilla;2009-01-01;73460
Melilla;2008-01-01;71448
Melilla;2007-01-01;69440
Melilla;2006-01-01;66871
Melilla;2005-01-01;65488
Melilla;2004-01-01;68016
Melilla;2003-01-01;68463
Melilla;2002-01-01;69184
Melilla;2001-01-01;68789
Melilla;2000-01-01;66263
