Causa de muerte;Sexo;Provincias;Periodo;Total
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1988;912
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1987;811
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1986;915
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1985;864
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1984;765
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1983;921
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1982;732
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1981;861
062-067  X.Enfermedades del sistema respiratorio;Total;03 Alicante/Alacant;1980;764
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2023;564
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2022;495
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2021;458
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2020;518
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2019;541
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2018;679
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2017;613
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2016;522
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2015;626
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2014;536
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2013;551
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2012;590
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2011;536
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2010;507
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2009;489
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2008;573
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2007;583
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2006;481
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2005;573
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2004;490
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2003;600
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2002;496
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2001;452
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;2000;491
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1999;515
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1998;435
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1997;407
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1996;422
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1995;376
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1994;364
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1993;387
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1992;332
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1991;365
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1990;415
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1989;351
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1988;309
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1987;316
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1986;322
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1985;321
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1984;253
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1983;327
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1982;249
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1981;310
062-067  X.Enfermedades del sistema respiratorio;Total;04 Almer�a;1980;306
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2023;212
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2022;226
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2021;164
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2020;250
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2019;334
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2018;321
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2017;307
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2016;278
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2015;277
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2014;238
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2013;276
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2012;258
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2011;224
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2010;214
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2009;223
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2008;229
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2007;206
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2006;190
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2005;287
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2004;203
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2003;230
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2002;240
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2001;206
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;2000;224
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1999;245
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1998;223
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1997;181
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1996;197
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1995;173
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1994;170
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1993;186
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1992;159
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1991;173
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1990;188
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1989;191
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1988;167
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1987;139
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1986;131
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1985;179
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1984;140
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1983;142
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1982;113
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1981;183
062-067  X.Enfermedades del sistema respiratorio;Total;01 Araba/�lava;1980;168
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2023;1.286
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2022;1.084
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2021;882
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2020;1.215
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2019;1.446
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2018;1.612
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2017;1.579
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2016;1.452
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2015;1.617
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2014;1.382
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2013;1.300
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2012;1.481
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2011;1.254
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2010;1.212
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2009;1.287
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2008;1.372
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2007;1.394
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2006;1.278
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2005;1.441
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2004;1.277
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2003;1.437
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2002;1.471
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2001;1.159
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;2000;1.473
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1999;1.595
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1998;1.328
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1997;1.287
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1996;1.324
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1995;1.396
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1994;1.217
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1993;1.266
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1992;1.167
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1991;1.328
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1990;1.260
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1989;1.122
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1988;1.015
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1987;1.068
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1986;1.090
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1985;1.234
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1984;1.006
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1983;1.021
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1982;1.039
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1981;1.104
062-067  X.Enfermedades del sistema respiratorio;Total;33 Asturias;1980;1.157
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2023;213
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2022;193
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2021;159
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2020;228
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2019;272
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2018;285
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2017;303
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2016;256
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2015;274
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2014;224
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2013;239
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2012;266
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2011;245
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2010;215
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2009;257
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2008;234
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2007;252
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2006;243
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2005;280
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2004;231
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2003;236
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2002;227
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2001;216
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;2000;231
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1999;233
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1998;230
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1997;213
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1996;208
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1995;164
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1994;180
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1993;171
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1992;182
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1991;184
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1990;176
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1989;172
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1988;148
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1987;142
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1986;156
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1985;164
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1984;134
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1983;134
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1982;118
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1981;132
062-067  X.Enfermedades del sistema respiratorio;Total;05 �vila;1980;123
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2023;770
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2022;770
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2021;645
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2020;840
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2019;898
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2018;921
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2017;976
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2016;899
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2015;909
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2014;733
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2013;823
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2012;901
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2011;723
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2010;745
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2009;789
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2008;684
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2007;767
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2006;640
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2005;834
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2004;673
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2003;734
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2002;714
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2001;743
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;2000;836
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1999;944
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1998;636
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1997;643
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1996;681
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1995;575
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1994;531
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1993;594
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1992;568
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1991;651
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1990;661
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1989;581
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1988;501
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1987;509
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1986;596
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1985;586
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1984;565
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1983;653
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1982;440
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1981;535
062-067  X.Enfermedades del sistema respiratorio;Total;06 Badajoz;1980;488
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2023;774
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2022;782
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2021;616
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2020;734
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2019;745
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2018;869
062-067  X.Enfermedades del sistema respiratorio;Total;07 Balears, Illes;2017;841
